"college_institution_id","survey_year","non_teaching_staff_count_id"
"11678","2015","440519"
"788","2015","440520"
"788","2015","440521"
"788","2015","440522"
"788","2015","440523"
"5973","2015","440524"
"5973","2015","440525"
"5973","2015","440526"
"5973","2015","440527"
"47819","2015","440528"
"47819","2015","440529"
"47819","2015","440530"
"47819","2015","440531"
"47819","2015","440532"
"9890","2015","440533"
"8603","2015","440534"
"47871","2015","440535"
"47871","2015","440536"
"7392","2015","440537"
"7392","2015","440538"
"7392","2015","440539"
"7392","2015","440540"
"49680","2015","440549"
"49680","2015","440550"
"4103","2015","440551"
"4103","2015","440552"
"6866","2015","440554"
"423","2015","440557"
"45206","2015","440570"
"45206","2015","440571"
"45206","2015","440572"
"45206","2015","440573"
"50215","2015","440574"
"50215","2015","440575"
"5922","2015","440576"
"5922","2015","440577"
"5922","2015","440578"
"5922","2015","440579"
"265","2015","440583"
"265","2015","440584"
"873","2015","440585"
"873","2015","440586"
"873","2015","440587"
"854","2015","440588"
"854","2015","440589"
"854","2015","440590"
"854","2015","440591"
"854","2015","440592"
"41656","2015","440593"
"41656","2015","440594"
"41656","2015","440595"
"41656","2015","440596"
"44900","2015","440597"
"44900","2015","440598"
"44900","2015","440599"
"44900","2015","440600"
"44900","2015","440601"
"417","2015","440602"
"417","2015","440603"
"417","2015","440604"
"29238","2015","440606"
"29238","2015","440607"
"29238","2015","440608"
"29238","2015","440609"
"29238","2015","440610"
"29238","2015","440611"
"29238","2015","440612"
"6101","2015","440615"
"6101","2015","440616"
"6101","2015","440617"
"41890","2015","440618"
"41890","2015","440619"
"41890","2015","440620"
"41890","2015","440621"
"41890","2015","440622"
"165","2015","440623"
"437","2015","440624"
"437","2015","440625"
"437","2015","440626"
"437","2015","440627"
"437","2015","440628"
"437","2015","440629"
"437","2015","440630"
"40545","2015","440633"
"18517","2015","440634"
"7051","2015","440636"
"7051","2015","440637"
"7051","2015","440638"
"7051","2015","440639"
"7051","2015","440640"
"7051","2015","440641"
"7051","2015","440642"
"37104","2015","440661"
"37104","2015","440662"
"37104","2015","440663"
"6112","2015","440666"
"6112","2015","440667"
"6112","2015","440668"
"6112","2015","440669"
"6109","2015","440673"
"6109","2015","440674"
"6109","2015","440675"
"11300","2015","440676"
"11300","2015","440677"
"51622","2015","440684"
"51622","2015","440685"
"51622","2015","440686"
"51622","2015","440687"
"45870","2015","440700"
"45870","2015","440701"
"45870","2015","440702"
"45870","2015","440703"
"827","2015","440710"
"827","2015","440711"
"827","2015","440712"
"827","2015","440713"
"45915","2015","440718"
"45915","2015","440719"
"4123","2015","440725"
"4123","2015","440726"
"4123","2015","440727"
"7157","2015","440735"
"7157","2015","440736"
"7157","2015","440737"
"7157","2015","440738"
"22281","2015","440742"
"22281","2015","440743"
"22281","2015","440744"
"13837","2015","440745"
"13837","2015","440746"
"13837","2015","440747"
"13837","2015","440748"
"36786","2015","440753"
"194","2015","440754"
"194","2015","440755"
"18976","2015","440765"
"18976","2015","440766"
"18976","2015","440767"
"352","2015","440781"
"8925","2015","440782"
"8925","2015","440783"
"8925","2015","440784"
"8925","2015","440785"
"6033","2015","440796"
"6033","2015","440797"
"10296","2015","440798"
"10296","2015","440799"
"16413","2015","440800"
"16413","2015","440801"
"16413","2015","440802"
"15588","2015","440804"
"15588","2015","440805"
"15588","2015","440806"
"582","2015","440812"
"10377","2015","440813"
"9546","2015","440814"
"44315","2015","440815"
"50319","2015","440817"
"50319","2015","440818"
"7382","2015","440829"
"970","2015","440830"
"885","2015","440831"
"885","2015","440832"
"885","2015","440833"
"34010","2015","440834"
"34010","2015","440835"
"34010","2015","440836"
"8474","2015","440844"
"30698","2015","440852"
"30698","2015","440853"
"30698","2015","440854"
"30698","2015","440855"
"30698","2015","440856"
"30698","2015","440857"
"30698","2015","440858"
"30698","2015","440859"
"30698","2015","440860"
"30698","2015","440861"
"848","2015","440866"
"41961","2015","440867"
"41961","2015","440868"
"6437","2015","440881"
"6437","2015","440882"
"6437","2015","440883"
"50660","2015","440884"
