"id","staff_type_id","group_id","sanctioned_strength","posts_reserved_for_pwd","count_by_category_id"
"449840","2","1","2","","4323728"
"583835","2","2","1","","5570605"
"583942","2","3","2","","5571292"
"550032","4","3","28","","5245427"
"560398","3","4","0","","5352319"
"576034","1","2","0","","5496129"
"586936","1","2","6","","5600843"
"445751","2","1","1","","4291574"
"534122","3","2","1","","5078556"
"541297","1","4","3","","5156084"
"515739","1","2","28","","4893328"
"540285","1","4","3","","5144446"
"541999","1","2","2","","5165066"
"524745","1","1","4","","4981202"
"583918","1","2","5","","5571156"
"469909","1","4","3","","4479982"
"491277","1","4","3","","4667296"
"509610","1","1","120","","4830489"
"533589","2","1","1","","5073713"
"442735","1","3","2","","4265304"
"581184","1","2","123","","5543501"
"578336","2","1","1","","5516877"
"480491","1","2","3","","4576919"
"541216","2","2","1","","5155075"
"485815","3","2","0","","4621328"
"548490","2","3","2","","5231614"
"565420","1","3","313","","5404510"
"480679","1","2","1","","4578854"
"551252","3","2","0","","5255700"
"443234","1","3","5","","4270489"
"543958","1","4","18","","5184528"
"446124","3","1","0","","4294721"
"588861","1","1","1","","5628734"
"496672","1","4","2","","4710858"
"512007","1","4","1","","4853454"
"497003","3","2","1","","4713587"
"542911","2","3","12","","5174459"
"484676","1","4","28","","4612096"
"475108","2","1","1","","4525910"
"508359","1","3","8","","4818467"
"549884","1","1","4","","5244127"
"480526","1","3","8","","4577383"
"462425","1","3","4","","4421027"
"499591","1","4","4","","4735467"
"563105","4","3","5","","5377402"
"561107","1","2","1","","5359497"
"473200","1","3","5","","4508980"
"586237","1","2","8","","5594161"
"493385","2","4","1","","4684616"
"572710","1","1","5","","5466469"
"494222","4","3","3","","4691100"
"499364","1","2","6","","4733665"
"529136","1","1","6","","5030760"
"561279","1","4","0","","5361094"
"513443","1","3","10","","4870886"
"495561","1","2","7","","4701938"
"538500","1","4","4","","5121304"
"504649","1","2","0","","4781865"
"485603","4","4","9","","4619795"
"578984","1","4","45","","5523244"
"452611","1","4","2","","4344707"
"537132","1","3","3","","5107646"
"528813","1","2","1","","5026946"
"583109","1","3","2","","5562864"
"459014","1","3","15","","4393615"
"504981","1","3","1","","4784923"
"528319","2","4","1","","5022582"
"556935","2","3","1","","5315258"
"580530","1","3","5","","5536719"
"516291","3","1","1","","4899532"
"503143","1","4","5","","4768721"
"448909","1","4","11","","4316600"
"547019","3","2","1","","5216984"
"537241","2","2","1","","5108751"
"545354","2","1","1","","5199606"
"526585","1","1","3","","5002131"
"470535","1","1","1","","4485124"
"490688","1","3","9","","4662620"
"445813","1","3","2","","4292315"
"460785","1","4","2","","4407326"
"543364","2","4","1","","5179025"
"583962","1","1","18","","5571437"
"486445","1","3","6","","4626682"
"508467","1","3","1","","4819325"
"539608","2","1","1","","5134433"
"579748","3","2","2","","5530105"
"461131","2","2","1","","4409959"
"487870","1","4","3","","4638342"
"500991","4","3","8","","4749463"
"551254","3","4","0","","5255702"
"585694","1","3","3","","5589396"
"462371","3","1","1","","4420767"
"460495","2","3","1","","4405370"
"472681","1","4","8","","4504878"
"496360","1","3","5","","4708127"
"552513","1","2","10","","5267740"
"530068","1","1","4","","5039723"
"525315","1","3","14","","4986483"
"479847","1","2","6","","4570351"
"553417","1","2","21","","5276620"
"575001","1","4","14","","5486785"
"559270","4","2","15","","5340708"
"460962","2","4","4","","4408660"
"566125","2","1","1","","5410923"
"448188","1","3","3","","4310912"
"533860","4","4","3","","5076264"
"525594","2","2","1","","4989078"
"514567","1","3","7","","4880895"
"459517","2","2","1","","4397525"
"510850","1","4","4","","4842566"
"531823","2","3","2","","5055921"
"478088","1","3","12","","4554809"
"502474","1","1","0","","4761652"
"456033","3","1","1","","4370873"
"465579","4","3","3","","4444473"
"577715","1","3","1","","5511556"
"517089","4","4","6","","4906522"
"546508","2","3","1","","5211682"
"561808","1","3","9","","5365663"
"478506","1","4","2","","4558562"
"553586","1","4","24","","5278579"
"545074","4","3","2","","5195796"
"498934","1","2","1","","4730187"
"458507","2","1","0","","4389872"
"520739","1","3","6","","4941922"
"574848","1","1","6","","5485380"
"550357","1","4","119","","5248224"
"530253","2","4","4","","5041751"
"485104","1","1","10","","4615900"
"492532","4","3","5","","4677917"
"470476","1","4","2","","4484556"
"528616","1","3","2","","5024843"
"460858","1","4","5","","4407940"
"531866","2","2","1","","5056256"
"445043","4","4","4","","4285224"
"555190","2","2","3","","5294971"
"476774","1","3","13","","4541321"
"486907","4","4","1","","4630044"
"467211","1","1","1","","4457643"
"540679","4","4","3","","5148399"
"453975","1","3","3","","4355354"
"443536","1","3","3","","4272850"
"531349","3","3","2","","5051796"
"550852","3","3","1","","5252679"
"526197","2","2","1","","4997652"
"518490","1","1","12","","4920129"
"525332","1","4","22","","4986659"
"534348","1","3","3","","5080874"
"470283","2","2","1","","4482774"
"576909","1","2","1","","5504252"
"507032","1","4","0","","4805819"
"443555","1","2","1","","4272978"
"576901","1","3","36","","5504188"
"493283","2","2","1","","4683776"
"478207","3","3","0","","4555503"
"506329","2","2","1","","4800112"
"536609","2","2","1","","5101853"
"570967","3","1","1","","5450379"
"459599","2","3","2","","4398167"
"516183","1","1","73","","4898092"
"452792","2","3","1","","4346090"
"579546","2","2","1","","5528401"
"488730","2","2","2","","4646496"
"476374","1","3","6","","4537643"
"489566","1","3","3","","4653326"
"555569","2","3","2","","5299224"
"580544","1","4","2","","5536788"
"497235","2","2","2","","4715524"
"494169","2","1","1","","4690441"
"508174","2","2","1","","4817116"
"542102","3","1","0","","5165920"
"547119","1","3","8","","5217854"
"512017","1","4","0","","4853538"
"479811","1","4","1","","4570085"
"448448","1","2","3","","4313075"
"558841","3","1","1","","5336347"
"509336","1","3","5","","4828165"
"455001","1","4","4","","4362986"
"501502","1","3","7","","4753596"
"554782","1","2","3","","5291040"
"489325","2","3","1","","4651307"
"442681","2","3","1","","4265013"
"474208","1","3","7","","4517502"
"532509","1","4","2","","5062518"
"488337","1","1","2","","4643227"
"522784","1","3","18","","4962129"
"492335","4","4","3","","4676276"
"503703","1","3","6","","4773577"
"521478","1","3","21","","4949333"
"486207","2","1","2","","4624827"
"561612","3","2","1","","5364113"
"536549","2","1","1","","5101176"
"511981","1","2","7","","4853296"
"543636","2","2","3","","5181904"
"479416","1","3","15","","4566940"
"462415","2","2","1","","4420982"
"487426","1","4","10","","4634205"
"579558","1","2","10","","5528600"
"469462","1","3","6","","4476261"
"573321","1","3","0","","5472485"
"553051","1","3","200","","5273214"
"574200","2","3","2","","5479479"
"547051","1","4","1","","5217141"
"455274","1","2","20","","4365107"
"473473","1","3","6","","4511224"
"504430","1","4","6","","4779263"
"503914","1","1","5","","4775314"
"507736","2","3","1","","4812795"
"511979","1","3","10","","4853294"
"554805","1","3","2","","5291388"
"467808","2","2","1","","4462354"
"571018","3","2","1","","5450820"
"524600","2","1","2","","4979817"
"573931","1","4","1","","5477429"
"461166","1","4","6","","4410274"
"478659","1","3","10","","4560105"
"558481","1","2","3","","5331098"
"482803","2","1","1","","4597441"
"534117","1","4","4","","5078546"
"443853","3","1","1","","4274978"
"538055","2","3","8","","5116735"
"464434","2","1","1","","4436200"
"546164","2","3","2","","5208200"
"563193","2","2","1","","5378239"
"495367","1","3","3","","4700379"
"577227","2","4","1","","5507163"
"464556","2","2","1","","4437226"
"505748","1","3","4","","4793256"
"522768","1","1","2","","4962009"
"550571","2","3","2","","5250565"
"524064","1","3","32","","4973904"
"497425","2","3","3","","4717099"
"570545","1","1","1","","5446818"
"470731","1","3","5","","4486925"
"521153","1","3","9","","4946169"
"571500","1","4","4","","5455024"
"441792","1","3","4","","4256792"
"444732","2","1","1","","4282577"
"457991","3","1","1","","4385177"
"462807","1","3","0","","4424017"
"476678","1","3","0","","4540598"
"545621","1","3","2","","5202487"
"451070","2","1","1","","4333818"
"494729","1","3","12","","4694788"
"509604","1","2","10","","4830451"
"453629","3","2","1","","4352470"
"486566","1","4","2","","4627665"
"445543","2","3","1","","4289510"
"538588","1","2","4","","5122290"
"456537","1","4","0","","4374688"
"465805","2","2","0","","4446380"
"556344","3","1","1","","5307980"
"562819","2","3","1","","5374655"
"479821","1","3","15","","4570193"
"515951","1","3","5","","4895798"
"462210","1","4","4","","4419330"
"482105","1","2","2","","4592073"
"479922","1","1","1","","4571146"
"454575","2","3","1","","4359697"
"532060","1","2","5","","5057962"
"532691","3","3","2","","5064225"
"505931","2","4","3","","4795746"
"579737","1","4","4","","5530035"
"519158","4","2","0","","4926213"
"550452","1","1","15","","5249774"
"580644","2","2","3","","5537587"
"550233","3","3","1","","5247117"
"574128","2","2","3","","5478853"
"500045","1","1","1","","4739705"
"492571","3","3","1","","4678165"
"562418","1","2","1","","5370904"
"476934","1","2","1","","4543036"
"578410","1","2","2","","5517402"
"545043","2","2","1","","5195628"
"538596","1","4","21","","5122418"
"539422","2","3","1","","5132352"
"583364","3","1","1","","5565787"
"469367","1","4","2","","4475305"
"536098","1","1","2","","5096791"
"512806","1","4","4","","4862875"
"537059","2","1","1","","5106885"
"550579","1","1","12","","5250683"
"504898","1","3","6","","4784054"
"531641","1","4","3","","5054523"
"587187","1","4","2","","5603379"
"470300","3","2","1","","4482979"
"571467","1","3","3","","5454726"
"470169","1","1","3","","4481782"
"514280","1","3","52","","4878199"
"456889","2","2","1","","4377036"
"473418","1","3","18","","4510847"
"568267","1","2","1","","5428624"
"584691","1","3","1","","5579220"
"520792","1","3","1","","4942289"
