"standalone_institution_id","survey_year","teaching_staff_id"
"2192","2015","908037"
"2192","2015","908038"
"2192","2015","908039"
"2192","2015","908040"
"2192","2015","908041"
"2192","2015","908042"
"9702","2015","908049"
"9702","2015","908050"
"5428","2015","908107"
"5428","2015","908108"
"9917","2015","908109"
"9917","2015","908110"
"9551","2015","908124"
"9551","2015","908125"
"4030","2015","908126"
"4030","2015","908127"
"10252","2015","908224"
"10252","2015","908225"
"5982","2015","908332"
"5982","2015","908333"
"1778","2015","908374"
"1778","2015","908375"
"3768","2015","908376"
"3768","2015","908377"
"10982","2015","908425"
"10982","2015","908426"
"10982","2015","908427"
"10982","2015","908428"
