"id","country_id","programme_id","discipline","total","girls","broad_discipline_group_id","level_id"
"59634","160","030","Nursing","4","3","188","4"
"52499","206","124","Economics","1","1","012","3"
"47999","2","043","BBA","6","0","133","4"
"60350","51","046","COMPUTERS","9","2","183","4"
"54735","2","124","History&Culture","1","0","111","3"
"51599","15","129","Medicine","2","1","068","4"
"58043","70","122","Energy Studies","1","0","026","3"
"55357","207","108","PHARMACY PRACTICE","3","0","076","3"
"54418","2","176","POL. SCIENCE","2","2","112","4"
"49274","117","012","Accounting & Finance","3","3","009","4"
"57978","160","157","Law","1","0","052","1"
"51936","132","006","English Literature","1","1","178","4"
"60088","2","122","Green Energy Technology","2","2","026","3"
"50096","160","030","Science","6","0","171","4"
"52548","133","030","Science","1","0","171","4"
"56094","153","036","Non Medical","7","0","017","4"
"55327","207","036","B.Tech","12","1","016","4"
"58176","247","012","(Hons) COMMERCE","2","0","009","4"
"58476","111","124","Psychology","1","0","113","3"
"49041","20","036","UG","1","0","019","4"
"48712","202","046","Science","36","0","183","4"
"58338","153","031","NURSING","2","2","072","4"
"58363","153","157","Ph.D - Microbiology","2","2","156","1"
"53470","139","039","Law","1","1","052","8"
"59072","19","006","English","2","1","178","4"
"56461","153","036","CE","4","0","016","4"
"51433","153","179","Hospital Adminstration","6","2","136","4"
"58181","244","157","Special Education","1","0","012","1"
"51866","153","044","Bachelor of Management","1","0","055","4"
"58202","103","157","English","1","0","031","1"
"54592","244","130","Computer Application","1","0","183","3"
"58680","239","124","Budhist Studies","10","0","116","3"
"61538","216","177","BBA, LL.B. (Hons.)","1","0","052","8"
"51582","160","036","Information Technology","8","1","185","4"
"47923","70","046","Commerce","1","0","183","4"
"51693","40","129","Medicine","1","0","068","4"
"51983","83","157","Animation & Visual Effects","1","0","051","1"
"52176","203","009","Architecture","1","0","014","4"
"52327","70","130","Computer Applicatons","1","1","183","3"
"57181","180","036","Computer Engineering","1","0","017","4"
"57896","230","126","Communication Management","1","0","133","3"
"58426","149","039","Law","1","1","052","8"
"59783","133","030","Computer Science","1","1","095","4"
"53857","207","122","Chemical","1","0","015","3"
"55949","207","030","Science","1","0","171","4"
"47918","153","043","Commerce","1","0","133","4"
"58198","213","157","Pl. Pathology","1","0","001","1"
"52797","206","050","COMPUTER SCIENCE AND ENGG","2","2","017","4"
"48504","20","050","Construction Technology","1","0","016","4"
"56925","217","093","Commerce","1","1","009","3"
"53160","102","049","Dental","6","6","066","4"
"54648","70","122","Hydraulic Engg.","2","0","016","3"
"58298","207","122","EEE","0","0","020","3"
"57065","113","093","Commerce","1","0","009","3"
"49235","244","050","Petroleum","6","0","026","4"
"50337","123","157","Technology","1","0","026","1"
"48391","133","012","Commerce","1","0","009","4"
"54507","145","126","Busieness Administration","1","1","133","3"
"55184","19","050","Mechanical","1","0","023","4"
"55125","115","157","Yoga","2","0","107","1"
"61543","216","030","B.Sc. (Design)","3","2","171","4"
"56658","113","050","Electronics and Communication","1","0","026","4"
"51730","182","111","Microbiology","1","1","156","3"
"48593","52","050","Mechanical Engineering","1","0","023","4"
"59281","213","193","Pharmacy","1","0","076","3"
"57894","153","124","Mass Communication","1","1","051","3"
"59103","182","082","D.Pharm","1","0","026","6"
"49764","213","030","Science","1","0","171","4"
"58270","52","030","Life Science","1","1","171","4"
"52268","217","036","Computer Science & Engineering","1","0","017","4"
"50335","37","157","Arts","1","0","109","1"
"53186","27","036","Civil Engineering","1","0","016","4"
"60544","247","006","History","5","2","178","4"
"48677","102","104","Personnel","1","1","055","3"
"50959","40","039","Law","2","1","052","8"
"56370","55","046","Computer Applications","6","0","183","4"
"55059","206","155","Professional Communication in English","2","1","031","5"
"60047","246","012","Commerce","1","0","009","4"
"58152","235","006","ECONOMICS","3","2","178","4"
"54958","20","043","Commerce","1","0","133","4"
"50478","117","043","Financial Markets","1","0","133","4"
"53224","165","036","Electronics & Communication Engineering","3","1","020","4"
"50655","102","057","Management","1","0","057","4"
"48765","103","108","Ph.ceutics","2","1","076","3"
"48192","2","118","Information Technology","1","0","107","3"
"52705","51","009","B. Arch","1","0","014","4"
"51841","139","006","ISLAMIC STUDIES","1","0","178","4"
"61192","113","036","CIVIL ENGINEERING","1","0","016","4"
"57677","230","087","BA LL.B (Honours)","12","9","052","4"
"52272","178","036","Electronics & Communication Engineering","1","1","020","4"
"48598","153","050","Mechanical Engineering","3","0","023","4"
"58571","119","036","Engineering","5","0","017","4"
"48278","20","180","Media Science","1","1","107","4"
"61386","120","030","B.Sc. (Airlines, Tourism & Hospitality)","1","1","171","4"
"57240","217","129","Anatomy, Physiology, Biochemistry, Pathology , Microbiology, Pharmcology, Forensic Medicine, Ophthalmology, ENT, Community Medicine, Medicine, Surgery, Obst. & Gynae, Pediatrics","1","1","068","4"
"50749","207","036","Mechanical Engineering","5","0","023","4"
"59081","206","051","Dance","1","0","028","4"
"51640","132","036","Aeronautical Engineering","1","0","026","4"
"54021","153","050","MECHANICAL ENGINEERING","1","0","023","4"
"47723","235","012","Commerce","1","0","009","4"
"55189","20","043","Business Administration","1","1","133","4"
"48165","103","012","Commerce","4","0","009","4"
"48255","153","148","Medical","22","9","167","3"
"57692","20","036","Lateral Entry - 2nd year (All Branches )","2","0","026","4"
"48188","207","027","Pharmacy","3","1","076","4"
"61159","245","031","B.Sc. Nursing","1","1","072","4"
