"university_id","survey_year","teaching_staff_id"
"0464","2015","911535"
"0464","2015","911536"
"0464","2015","911537"
"0464","2015","911538"
"0464","2015","911539"
"0464","2015","911540"
"0464","2015","911541"
"0464","2015","911542"
"0464","2015","911543"
"0464","2015","911544"
"0464","2015","911545"
"0464","2015","911546"
"0464","2015","911547"
"0464","2015","911548"
"0464","2015","911549"
"0464","2015","911550"
"0464","2015","911551"
"0464","2015","911552"
"0464","2015","911553"
"0303","2015","914964"
"0303","2015","914965"
"0138","2015","915173"
"0138","2015","915174"
"0138","2015","915175"
"0138","2015","915176"
"0138","2015","915177"
"0138","2015","915178"
"0138","2015","915179"
"0138","2015","915180"
"0138","2015","915181"
"0138","2015","915182"
"0138","2015","915183"
"0138","2015","915184"
"0138","2015","915185"
"0138","2015","915186"
"0138","2015","915187"
"0138","2015","915188"
"0138","2015","915189"
"0138","2015","915190"
"0138","2015","915191"
"0138","2015","915192"
"0138","2015","915193"
"0138","2015","915194"
"0636","2015","915535"
"0636","2015","915536"
"0636","2015","915537"
"0636","2015","915538"
"0636","2015","915539"
"0636","2015","915540"
"0778","2015","918467"
"0778","2015","918468"
"0778","2015","918469"
"0778","2015","918470"
"0165","2015","918515"
"0165","2015","918516"
"0649","2015","919482"
"0649","2015","919483"
"0649","2015","919484"
"0649","2015","919485"
"0649","2015","919486"
"0649","2015","919487"
"0649","2015","919488"
"0131","2015","921581"
"0131","2015","921582"
"0131","2015","921583"
"0131","2015","921584"
"0131","2015","921585"
"0152","2015","921980"
"0152","2015","921981"
"0152","2015","921982"
"0152","2015","921983"
"0152","2015","921984"
"0152","2015","921985"
"0152","2015","921986"
"0152","2015","921987"
"0152","2015","921988"
"0126","2015","922812"
"0126","2015","922813"
"0126","2015","922814"
"0126","2015","922815"
"0126","2015","922816"
"0126","2015","922817"
"0126","2015","922818"
"0126","2015","922819"
"0126","2015","922820"
"0126","2015","922821"
"0126","2015","922822"
"0126","2015","922823"
"0126","2015","922824"
"0126","2015","922825"
"0126","2015","922826"
"0126","2015","922827"
"0126","2015","922828"
"0126","2015","922829"
"0126","2015","922830"
"0126","2015","922831"
"0126","2015","922832"
"0142","2015","923724"
"0142","2015","923725"
"0142","2015","923726"
"0142","2015","923727"
"0142","2015","923728"
"0142","2015","923729"
"0142","2015","923730"
"0142","2015","923731"
"0142","2015","923732"
"0142","2015","923733"
"0142","2015","923734"
"0142","2015","923735"
"0142","2015","923736"
"0635","2015","925056"
"0635","2015","925057"
"0635","2015","925058"
"0635","2015","925059"
"0635","2015","925060"
"0635","2015","925061"
"0635","2015","925062"
"0635","2015","925063"
"0734","2015","925629"
"0734","2015","925630"
"0734","2015","925631"
"0368","2015","925899"
"0368","2015","925900"
"0368","2015","925901"
"0368","2015","925902"
"0368","2015","925903"
"0368","2015","925904"
"0368","2015","925905"
"0368","2015","925906"
"0368","2015","925907"
"0368","2015","925908"
"0368","2015","925909"
"0368","2015","925910"
"0368","2015","925911"
"0368","2015","925912"
"0368","2015","925913"
"0368","2015","925914"
"0368","2015","925915"
"0368","2015","925916"
"0368","2015","925917"
"0368","2015","925918"
"0368","2015","925919"
"0368","2015","925920"
"0368","2015","925921"
"0368","2015","925922"
