"id","name","university_id","district_code","state_code","type_id","survey_year","is_dcf_applicable"
"55573","MAHILA MAHA VIDYALAYA  MUDILA AMBA","0326","235","10","1","2015","true"
"33800","Mangaon Panchakroshi Shikshan Prasarak Mandals Late Parvatibai Mahadeorao Dhuri Arts College, Late Mahadeorao Narayanrao Dhuri Commerce & Science College Shri Shetra Mangaon, Tal. - Kudal Dist. - Sindhudurg - 416 519","0318","529","27","1","2015","true"
"55574","S.P.L.C.M.R.K COLLEGE PHULPARASS MADHUBANI","0074","207","10","1","2015","true"
"55576","United College of Education Kaul Kaithal","0164","073","06","1","2015","true"
"55577","Sant Ishar ","0174","072","06","1","2015","true"
"55578","RACHNA COLLEGE OF NURSING NANGAL SIROHI MAHENDRAGARH ","0174","084","06","1","2015","true"
"55579","YAMUNA INSTITUTE OF NURSING","0174","071","06","1","2015","true"
"55580","SWAMI SAHAJANAND SARASWATI B.Ed COLLEGE","0212","355","20","1","2015","true"
"55581","Devki Mahaveer Homoeopathic Medical College and Research Hospital","0212","346","20","1","2015","true"
"55582","S.R.K.M Degree college Chakulia","0206","357","20","1","2015","true"
"55583","Amaravathi School of Business","0215","572","29","1","2015","true"
"55584","OM SAI DEGREE COLLEGE","0215","572","29","1","2015","true"
"55585","Pragathi First Grade College","0215","572","29","1","2015","true"
"55586","R T Nagar Degree College","0215","572","29","1","2015","true"
"55587","BASAVA TATVA EDUCATION SOCIETYS D.ED. COLELGE","0219","558","29","1","2015","true"
"55588","awadh digree colleg","0268","430","23","1","2015","true"
"55589","Govt. New College Semariya","0268","430","23","1","2015","true"
"55590","LATE JAHID KHAN COLLEGE GURH REWA","0268","430","23","1","2015","true"
"55591","UNIQUE COLLEGE OF TECHNOLOGY AMARPATAN SATNA","0268","429","23","1","2015","true"
"55592","imperial institute of technology and science jaisinghnagar","0268","460","23","1","2015","true"
"55593","Sharadchandraji Pawar Homoeopathic Medical College and Hospital","0313","522","27","1","2015","true"
"55594","anand college of nursing vaijapur","0313","515","27","1","2015","true"
"55595","Babu Mangala Rai Smarak Mahila Sansthan Amaura Azamgarh","0550","191","09","1","2015","true"
"55599","mandhata shikshan sansthan mahila maha vidhyalaya","0509","147","09","1","2015","true"
"55596","Maa Chandrawati Devi Mahila Mahavidyalay, Mehnagar, Azamgarh","0550","191","09","1","2015","true"
"55600","SHRI VINAYAK COLLEGE OF EDUCATION NAGLA AWAJEE ETAH RAOD SHIKOHABAD","0509","147","09","1","2015","true"
"55597","global girls college","0510","177","09","1","2015","true"
"55601","SUMAN PRAKASH MAHAVIDHYALAY NAGLA KISHAN SINGH PUL KHADIT","0509","147","09","1","2015","true"
"55598","CH. RAGHUWAR DAYAL MAHAVIIDHAYALAYA, SHIKOHABAD DISTT FIROZABAD ","0509","147","09","1","2015","true"
"55602","Maharshi Sikshan and Prasikshan Sansthan, Ghazipur","0550","195","09","1","2015","true"
"55603","Lakhan Singh Khazani Devi Mahavdhyalaya,Mursan,Hathras","0509","144","09","1","2015","true"
"55605","College of Agriculture","0159","085","06","2","2015","false"
"55604","J.S. MEMORIAL MAHAVIDHYALAYA","0509","148","09","1","2015","true"
"55606","A. M. College of Law","0509","145","09","1","2015","true"
"55607","D.P.EDUCATIONAL INSTITUTE CHAUMUHAN,MATHURA","0509","145","09","1","2015","true"
"55608","SHRI BHOLA SHANKAR MAHILA MAHA VIDHYALYA","0509","145","09","1","2015","true"
"55609","Shrimati Fulmati Devi Kanya Mahavidhyalay","0509","145","09","1","2015","true"
"55610","Krishna Memorial Mahavidyalay, Ratanpur, Mau","0550","192","09","1","2015","true"
"55611","Ram Mahadev Ramsoch Krishak Mahavidyalaya Mau","0550","192","09","1","2015","true"
"55612","Rishi Ram Naresh Collage of Education Molanapur Dubari Mau","0550","192","09","1","2015","true"
"55613","SHRI DATTA SHIKSHAN PRASARAK MANDAL SAMBHJIRAJE COLLEGE OG MANAGEMENT SCI.","0298","523","27","1","2015","true"
"55614","College Of Physiotherapy, Wanless Hospital, Miraj Medical Center, Miraj.","0313","531","27","1","2015","true"
"55615","SANSKAR BHARTI TEACHER TRAINING COLLEGE SIHALI KHURD,MUNDAWAR. ALWAR","0814","104","08","1","2015","true"
"55616","MAA BHARTI COLLEGE","0413","125","08","1","2015","true"
"44308","Sanskar B.Ed. College Vadodara","0782","486","24","1","2015","true"
"50458","DR SAI KALESWAR MEMORIAL DEGREE COLLEGE","0045","551","28","1","2015","true"
"50459","SHIKSHAN MAHARSHI SHRI KRUSHNARAO ZOTING PATIL ARTS AND COMMERCE COLLEGE, SAMUDRAPUR","0332","504","27","1","2015","true"
"17261","Mahatma Gandhi College","0052","319","18","1","2015","true"
"49034","V.G. INSTITUTE OF PARAMEDICAL SCIENCES (Inst. Code - 391)","0481","632","33","1","2015","true"
"49041","VGM HOSPITAL INSTITUTE OF GASTROENTEROLOGY ( Inst. Code - 438)","0481","632","33","1","2015","true"
"50823","RAVINDRA NATH TAGORE COLLEGE, PIPALKHUNT","0413","131","08","1","2015","true"
"50460","MAHARISHI DAYANAND INSTITUTE OF NURSING, CHAUDHARYWAS","0174","080","06","1","2015","true"
"50461","NPV ARTS AND SCIENCE COLLEGE, CUDDALORE","0488","617","33","1","2015","true"
"50462","PADMBHUSHAN VASANT DADA PATIL COLLEGE OF AGRICULTURE, PUNE","0315","521","27","1","2015","true"
"51636","INDIRA GANDHI POLYTECHNIC","0252","595","32","1","2015","true"
"50464","SAI INTERNATIONAL COLLEGE OF COMMERCE AND ECONOMICS, KHORDHA","0366","386","21","1","2015","true"
"50468","HIMACHAL INSTITUTE OF TECHNOLOGY, SIRMAUR","0598","032","02","1","2015","true"
"24543","Himalayan College of Nursing","0737","060","05","2","2015","true"
"50470","SHRI KRISHNA MAHAVIDYALAYA, JAIPUR","0422","110","08","1","2015","true"
"50465","SRI BODHAN RAM BIND DEGREE COLLEGE, BANWARIPUR CHHANABEY","0527","199","09","1","2015","true"
"51962","Bajaj College","0078","041","03","1","2015","true"
"29172","Homoeopathic Medical College, Hanumangarh Road, Abohar","0660","043","03","1","2015","true"
"50469","SHIV CHARAN MATHUR INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BHILWARA","0419","122","08","1","2015","true"
"50466","HIMALAYAN SCHOOL OF ENGINEERING & TECHNOLOGY","0737","060","05","2","2015","true"
"51398","Daswani Dental College and research Centre","0420","127","08","1","2015","true"
"51637","S G INSTITUTE OF PARA MEDICAL SCIENCES","0240","566","29","1","2015","true"
"36031"," Shri Rawatpura Sarkar Institute of Technology , Near Bhedhaghat Chowk, NH-12, Bhopal Highway, Jabalpur-482001","0287","451","23","1","2015","true"
"50467","HIMALAYAN SCHOOL OF MANAGEMENT STUDIES","0737","060","05","2","2015","true"
"50471","ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY (APIIT) SD INDIA, PANIPAT","0164","075","06","1","2015","true"
"50472","GOVERNMENT COLLEGE, INDERGARH, DATIA","0276","422","23","1","2015","true"
"51638","INNOVA INSTITUTE OF MANAGEMENT AND SCIENCE","0215","572","29","1","2015","true"
"50477","DR ULHAS PATIL COLLEGE OF AGRICULTURAL ENGINEERING & TECHNOLOGY, JALGAON","0315","499","27","1","2015","true"
"50479","SHRI PITAMBARAPEETH SANSKRIT COLLEGE, DATIA","0281","422","23","1","2015","true"
"50480","D P SINGH SHIKSHA MAHAVIDHYALA, GWALIOR","0276","421","23","1","2015","true"
"50473","S R M BUSINESS SCHOOL, LUCKNOW","0549","157","09","1","2015","true"
"51639","Sri Basaveswara first grade college for women","0215","583","29","1","2015","true"
"50476","DR ULHAS PATIL COLLEGE OF AGRICULTURE, JALGAON","0315","499","27","1","2015","true"
"50474","SHRIRAM COLLEGE, MORENA","0276","419","23","1","2015","true"
"50478","DR ULHAS PATIL COLLEGE OF FOOD TECHNOLOGY, JALGAON","0315","499","27","1","2015","true"
"50825","AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE, THANJAVUR","0485","620","33","2","2015","true"
"50481","AYUSH COLLEGE OF POLYTECHNIC, MEDUKA PENDRA ROAD","0083","406","22","1","2015","true"
"51640","DE PAUL ARTS AND SCIENCE COLLEGE","0256","589","32","1","2015","true"
"50483","GOVERNMENT POLYTECHNIC (CO-ED), RAIPUR","0083","410","22","1","2015","true"
"50484","GOVERNMENT POLYTECHNIC, BALODABAZAR","0083","657","22","1","2015","true"
"50486","GOVERNMENT POLYTECHNIC (CO-ED), BASTAR, JAGADALPUR","0083","414","22","1","2015","true"
"50487","GURUKUL COLLEGE, BERASIA","0269","444","23","1","2015","true"
"51764","MASTER VIDYARAM COLLEGE, TASIMO","0422","106","08","1","2015","true"
"50488","AFARWAT COLLEGE OF EDUCATION","0196","008","01","1","2015","true"
"50489","G A MEMORIAL COLLEGE OF EDUCATION","0196","012","01","1","2015","true"
"50490","ISLAMIC DISCOVERY OF EDUCATION","0196","015","01","1","2015","true"
"50491","PARAMOUNT COLLEGE OF EDUCATION","0196","012","01","1","2015","true"
"50492","PIONEER COLLEGE OF EDUCATION","0196","008","01","1","2015","true"
"50493","SUCCESS COLLEGE OF EDUCATION, PADSHAHI BAGH","0196","010","01","1","2015","true"
"50494","WINGS BUSINESS SCHOOL, KKV PURAM, R C PURAM","0037","554","28","1","2015","true"
"50495","GOUR MALDA COLLEGE OF EDUCATION (B Ed)","0571","332","19","1","2015","true"
"50496","SHRI JWALA PRASAD SHARMA SHIKSHAN SANSTHAN INSTITUTE, KOREI, KIRAWALI","0509","146","09","1","2015","true"
"50498","BABU LALLAN SINGH MAHAVIDYALAYA, JAHANAGAJ","0550","191","09","1","2015","true"
"39450","Abhinav Institute of Management & Technology","0015","549","28","1","2015","true"
"24368","Raghu Institute Of Technology","0015","544","28","1","2015","true"
"50826","Anurag Adhyapak Mahavidyalaya, Warthi, Bhandara","0332","506","27","1","2015","true"
"23900","Koringa College Of Pharmacy","0015","545","28","1","2015","true"
"30756","POSTGRADUATE INSTITUTE OF DENTAL SCIENCES, ROHTAK","0174","082","06","2","2015","true"
"30737","COLLEGE OF PHYSIOTHERAPY, PGIMS, ROHTAK","0174","082","06","2","2015","true"
"50502","LAL BAHADUR SHASTRI MAHILA AYURVEDIC COLLEGE & HOSPITAL, BILASPUR","0174","071","06","1","2015","true"
"50503","PARAMOUNT COLLEGE OF NURSING, CHUCHHAKWAS","0174","083","06","1","2015","true"
"50504","SATYA COLLEGE OF NURSING, SISARKHAS","0174","082","06","1","2015","true"
"34155","Anjuman-I-Islams Akbar Peerbhoy College of Education Plot No.15, Sector10 Vashi Navi Mumba i400 703","0318","518","27","1","2015","true"
"50501","COLLEGE OF ENGINEERING, ARANMULA","0253","599","32","3","2015","true"
