"id","non_teaching_staff","teaching_staff","total"
"45374","25","23","48"
"51908","0","4","4"
"47314","7","18","25"
"49595","0","5","5"
"47411","15","3","18"
"51266","14","51","65"
"44806","15","33","48"
"48611","0","7","7"
"52410","3","7","10"
"45591","1","3","4"
"43852","7","15","22"
"47729","4","8","12"
"49076","12","4","16"
"55515","0","8","8"
"49285","25","40","65"
"44971","10","15","25"
"46850","0","5","5"
"53717","16","13","29"
"45483","5","10","15"
"49583","0","2","2"
"55080","2","4","6"
"55098","31","47","78"
"50200","20","36","56"
"47463","11","13","24"
"44549","3","19","22"
"54587","8","25","33"
"50484","2","2","4"
"50469","35","11","46"
"53838","10","15","25"
"44005","2","22","24"
"45063","20","20","40"
"48561","1","2","3"
"46316","4","8","12"
"47573","2","2","4"
"45303","4","12","16"
"46109","0","15","15"
"54165","9","12","21"
"44855","1","5","6"
"48345","2","14","16"
"51658","2","3","5"
"49430","2","2","4"
"54010","6","8","14"
"45605","10","15","25"
"46945","0","17","17"
"46736","8","15","23"
"47897","7","14","21"
"51096","4","26","30"
"51816","0","10","10"
"51704","5","5","10"
"49255","5","23","28"
"43724","2","3","5"
"52928","12","7","19"
"52877","168","42","210"
"50649","0","8","8"
"51684","5","13","18"
"46372","8","20","28"
"55896","2","2","4"
"53724","420","53","473"
"54092","36","29","65"
"42186","20","40","60"
"43677","8","7","15"
"50972","2","3","5"
"54199","2","5","7"
"44240","2","3","5"
"50537","3","6","9"
"43640","8","16","24"
"51570","","","180"
"48588","11","8","19"
"52125","27","10","37"
"44010","0","12","12"
"47878","0","1","1"
"44744","0","1","1"
"50308","719","298","1017"
"54972","10","7","17"
"55146","6","7","13"
"42136","1","3","4"
"47711","4","12","16"
"48382","0","6","6"
"54337","4","4","8"
"54966","48","36","84"
"46603","5","3","8"
"54126","2","2","4"
"51938","0","1","1"
"44582","10","13","23"
"50322","4","11","15"
"53323","2","1","3"
"43725","35","17","52"
"49891","0","22","22"
"53077","221","306","527"
