"id","address_line1","address_line2","city","state_code","district_code","website","area","constructed_area","year_of_establishment","year_of_recognition","nodalofficer_id","location","awards_degree_through_university","university_id","girl_exclusive","staff_quarter_available","staff_quarter_id","student_hostel_available","no_of_student_hostel","management_id","name","survey_year","financial_income_id","financial_expenditure_id","infrastructure_id","remarks","latitude","longitude","scholarship_id","loan_id","is_accredited","is_foreign_students_enrolled","offers_scholarship","offers_loan","offers_distance_programme","pin_code","has_fellowships","fellowships_id","ministry_id","has_other_minority_data"
"9679","A/P, Maindargi, Tal- Akkalko, Dist- solapur","A/P, Maindargi, Tal- Akkalko, Dist- solapur","Solapur","27","526","nooredu.com","1.5","7315.1899999999996","1984","1984","167303","R","false","","false","true","44240","true","2","3","NOOR EDUCATION SOCIETY JUNIOR COLLEGE OF EDUCATION AKALKCT SOLAPUR","2015","162856","162843","162839","","","","","","false","false","false","false","false","413217","true","4414","","false"
"14614","Plot No:-715,At:-Ghasadeipur, Po:-Nadighore,","Ps:-Odagaon.Nayagarh","Nayagarh","21","385","http://governmentpolytechnicnayagarh.org","10","24000","2014","2014","167316","R","false","","false","true","44247","true","1","2","GOVERNMENT POLYTECHNIC, NAYAGARH","2015","162869","162856","162852","","20.0160969999999985","84.9876589999999936","88436","","false","false","true","false","false","752081","false","","","false"
"1275","Government Polytechnic,Nagamangala","Mandya","Nagamangala","29","573","http://dte.karnataka.gov.in","6","6058","2008","2008","167331","R","false","","false","false","","true","1","2","GOVERNMENT POLYTECHNIC NAGAMANGALA MANDYA DISTRICT","2015","162884","162871","162867","","","","88443","","false","false","true","false","false","571432","false","","","false"
"5439","OPP POWER HOUSE LEDHUPUR","ASHAPUR","VARANASI","09","197","www.meridiannursingschool.org","1","2272","2006","2006","167339","U","false","","false","true","44254","true","1","6","MERIDIAN SCHOOL OF NURSING VARANASI","2015","162892","162879","162875","Hereby declare that the above filled information are true according to the best of my knowledge.","25.3333100000000009","83.0000100000000032","88446","","false","false","true","false","false","221007","false","","","false"
"9517","At. Po. Dindrud Tq. Majalgaon Dist Beed","","","27","523","","","","2008","","167345","R","false","","false","false","","false","0","6","LATE. RAMBAHU (ANNA) KHADE SEVABHAVI SANSTHA MAJALGAON BEED","2015","162898","162885","162881","","","","88450","","false","false","true","false","false","431128","false","","","false"
"1382","Togunashi Cross","Badami Road","Guledgudd","29","556","www.dte.kar.nic.in","11.3499999999999996","5619","1983","1994","165739","R","false","","false","false","","true","1","5","B V V SANGHAs  S R VASTRAD RURAL POLYTECHNIC, GULEDGUDD","2015","161292","161279","161275","","16.0458670000000012","75.7396399999999943","87544","","false","false","true","false","false","587203","false","","","true"
"14157","C 46-50 NEW AZAD NAGAR","KALYANPUR","KANPUR","09","164","www.spmnc.com","","17650","2010","2010","167393","U","false","","false","true","44266","true","1","6","S.P.M. NURSING COLLEGE, KANPUR","2015","162946","162933","162929","","26.4464049999999986","80.3294559999999933","88463","","false","false","true","false","false","208017","false","","","false"
"9813","AT POST CHALE TAL PANDHARPUR DIST SOLAPUR","AT POST CHALE TAL PANDHARPUR DIST SOLAPUR","PANDHARPUR","27","526","www.ssvbspmc.org","0.450000000000000011","1500","2006","2006","167407","R","false","","true","false","","false","0","6","SADGURU SWAMI VIDNYANAND BAHUDDESHIYA SHIKSHAN PANDHARPUR SOLAPUR","2015","162960","162947","162943","","17.6641650000000006","75.4149639999999977","","","false","false","false","false","false","413304","false","","","false"
"15002","ward no 1","khaperkheda","nagpur","27","505","www.rsmms.org.in","2.5","2500","2008","2008","167434","R","false","","false","false","","false","0","6","TULARAM DHOKE D.T. ED. COLLEGE KHAPERKHEDA","2015","162987","162974","162970","","","","","","false","false","false","false","false","441102","false","","","false"
"1234","ANANTH NAGAR, BEHIND SIBM","MANIPAL","UDUPI","29","569","www.gptudupi.in","5","5540.5","2008","2008","167450","U","false","","false","false","","true","1","2","GOVERNMENT POLYTECHNIC BAILURU UDUPI DIST.","2015","163003","162990","162986","","13.3355530000000009","74.7792550000000062","88488","","false","false","true","false","false","576104","false","","","true"
"6082","opp:bus sation,chhotaudepur","at & po & ta:chhotaudepur","chhotaudepur","24","668","www.mcpatelptccollege.org","7.43290999999999968","2740.11000000000013","1964","1964","167454","U","false","","true","false","","true","1","5","SMT MAJA BEN CHANDULAL PATEL STREE ADHYAPAN MANDIR BRODA","2015","163007","162994","162990","","22.3084941000000008","74.0119992999999994","88492","","false","false","true","false","false","391165","false","","","false"
"3742","School of Nursing, Kasturba Hospital, Darya Ganj","New Delhi - 110002","New Delhi - 110002","07","095","www.kasturbahospital.org","22700","14355","1960","1960","167456","U","false","","true","true","44278","true","1","3","KASTURBA GANDHI HOSPITAL CENTRAL DELHI","2015","163009","162996","162992","","","","88493","","false","false","true","false","false","110002","false","","","false"
"9006","Old CBS","Nashik","Nashik","27","516","www.adarshaadhyapan.org","0.097909999999999997","1809.11999999999989","1966","1966","167467","U","false","","false","false","","false","0","5","ADARSH ADHYAPAN VIDYALAYA NEAR C. B. S. GOLE COLONY NASIK","2015","163020","163007","163003","","19.9999499999999983","73.783069999999995","88501","","false","false","true","false","false","422002","false","","","false"
"12322","school of Nursing,St.Sebastian's Visitation Hospital,","Arthinkal P.O, Cherthala, Pin 688530.","Alappuzha","32","598","","","5000","2003","2007","167471","R","false","","true","true","44282","true","1","6","SCHOOL OF NURSING ST. SEBASTIANs VISITATION HOSPITAL ARTHUNKAL, CHERTHALA","2015","163024","163011","163007","","","","","","false","false","false","false","false","688530","false","","","true"
"9365","Civil line, nagpur road chandrapur","Civil line, nagpur road chandrapur","Chandrapur","27","509","www,jjceded.org","0","488","1957","1998","167473","U","false","","false","false","","false","0","5","JANTA JUNIOR COLLEGE OF EDUCATION CHANDRAPUR CHANDRAPUR CHANDRAPUR","2015","163026","163013","163009","Expert and effective teaching staff, library, good result, having nice play ground.","19.9500010000000003","79.2900010000000037","88505","","false","false","true","false","false","442401","false","","","false"
"1347","KAMMAGONDANAHALLY,","ABBIGERE MAIN ROAD,","BANGALORE","29","572","mntibangalore.org","5","9265","1986","1986","167475","U","false","","false","false","","true","1","6","M N TECH INST KAMMAGONDANAHALLY BANGALORE","2015","163028","163015","163011","","13.0600009999999997","77.5300009999999986","88506","","false","false","true","false","false","560015","false","","","false"
"1408","BAJPE","Paduperar Kathalsar Post - 574 142","Mangalore","29","575","www.snspt.org","14.7799999999999994","3780","1984","1984","167477","R","false","","false","false","","true","1","5","S N S POLYTECHNIC SUNKADAKATTE","2015","163030","163017","163013","","12.9666899999999998","74.8979499999999945","88508","","false","false","true","false","true","574142","false","","","false"
"9883","Raviwar Bazar, Main Road, Washim","Dist. Washim - 444 505","Washim","27","502","www.ssdedwsm.org","5","2333.46000000000004","1990","1990","167490","U","false","","false","false","","false","0","6","SH. SHIVAJI D. ED. COLLEGE WASHIM WASHIM","2015","163043","163030","163026","","","","88518","","false","false","true","false","false","444505","false","","","false"
"14013","ANM TRAINIG  SCHOOL, REFEERAL  HOSPITAL &  C.H.C. CHHOTAUDEPUR","REFEERAL HOSPITAL  & C.H.C. CHHOTAUDEPUR","CHHOTAUDEPUR","24","668","","","596","2008","2015","167492","U","false","","true","false","","true","1","2","ANM SCHOOL, CHC & REFERAL HOSPITAL, CHHOTA- UDEPUR","2015","163045","163032","163028","","22.3084939999999996","74.011999000000003","","","false","false","false","false","false","391165","false","","","false"
"2972","KARAIKUDI-ARANTHANGI MAIN ROAD","","","33","621","www.sasthaacolleges.com","5","5","2008","2008","167523","R","false","","false","false","","true","2","6","SASTHA POLYTECHNIC COLLEGE KEELANILAIKKOTTAI","2015","163076","163063","163059","","10.1001600000000007","78.5100340000000045","","","false","false","false","false","false","622209","false","","","false"
"3192","Malakpur Road","","Baraut","09","139","www.gdimt.org","2450","","2011","2011","167527","R","false","","false","false","","false","0","6","GAYATRI DEVI INSTITUTE OF MANAGMENT & TECHNOLOGY","2015","163080","163067","163063","","29.1823499999999996","77.3243400000000065","88541","","false","false","true","false","false","250611","false","","","false"
"9199","OLD GARUD HIGH SCHOOL BUILDING","SAKRI ROAD DHULE","DHULE","27","498","","10.25","100","1995","1995","167541","U","false","","false","true","44301","true","1","2","DISTRICT INSTITUTE OF EDUCATION AND TRAINING DHULE DHULE","2015","163094","163081","163077","","20.9003300000000003","74.772989999999993","88552","","false","false","true","false","true","424001","false","","","false"
"5457","Opp Medical College Gate no-02 kanpur road, Jhansi","District-Jhansi","Jhansi","09","166","raghvendranursing.com","1.20999999999999996","53620","2010","2010","167550","U","false","","false","true","44306","true","1","6","RAGHVENDRA HOSPITAL & NURSING TRAINING INSTITUTE JHANSI","2015","163103","163090","163086","","","","88557","","false","false","true","false","false","284001","false","","","false"
"1180","C.A Site No.3, 12th cross, 1st Block,","R.T.Nagar","Bangalore-560032","29","572","www.adarsha.net.in","0.446000000000000008","15823","1985","1985","167569","U","false","","false","false","","false","0","6","ADARSHA POLYTECHNIC","2015","163122","163109","163105","","13.0186466000000003","77.5957992999999959","88565","","false","false","true","false","false","560032","false","","","false"
"3216","BEWAR ROAD","BHOLEPUR","FARRUKHABAD","09","159","www.gpfarrukhabad.com","21.5300000000000011","5611","1984","1984","167588","U","false","","false","true","44314","true","3","2","GOVERNMENT POLYTECHNIC FARRUKHABAD","2015","163141","163128","163124","","27.2400100000000016","79.3700099999999935","","","true","false","false","false","false","209601","false","","","false"
"2580","NEAR ITARANA FLYOVER","","Alwar","08","104","gpcalwar.com","46","","1960","1960","167592","U","false","","false","true","44316","false","0","2","GOVERNMENT POLYTECHNIC COLLEGE, ALWAR","2015","163145","163132","163128","","32.1111099999999965","76.1111099999999965","88578","","false","false","true","false","false","301001","false","","","false"
"4016","Kankanady Post","-","Mangalore","29","575","www.fathermuller.com","5","1087.93000000000006","1959","1959","167599","U","false","","true","true","44318","true","1","6","FATHER MULLER SCHOOL OF NURSING, DAKSHINA KANNADA","2015","163152","163139","163135","","12.8700010000000002","74.8600009999999969","","","false","false","false","false","false","575002","false","","","false"
"14963","SHELHAL ROAD","UDGIR","UDGIR","27","524","","1","14000","2002","2002","167602","R","false","","false","false","","false","0","5","Dileep Ekambekar D.T.ED College Udgir","2015","163155","163142","163138","","18.7777700000000003","77.5555499999999967","","","false","false","false","false","false","413517","false","","","false"
"7339","P.O.Box. No. 52, Surury Campus, Station-Dargah Road,","","Burhanpur","23","467","www.drzakirhusaincollege.org","3.30900000000000016","4.4139999999999997","1999","2001","167612","R","false","","false","false","","false","0","6","ZAKIR HUSSAIN TEACHER TRAINING INSTITUTE KHANDWA","2015","163165","163152","163148","","21.330315070000001","76.2083011900000002","88589","","false","false","true","false","false","450331","false","","","true"
"1441","B.G Nagar,","Nagamangala,","Mandya","29","573","www.sjbgsp.com","9.50999999999999979","9907.53000000000065","2009","2009","167613","R","false","","false","true","44321","true","2","6","SJ BGS POLYTECHNIC","2015","163166","163153","163149","","12.8600010000000005","76.0000009999999975","88590","12651","false","false","true","true","false","571448","false","","","false"
"1241","UDGIR ROAD","OPP. GOVT DISTRICT HOSPITAL","BIDAR","29","558","www.gpt-bidar.org","21.6999999999999993","18210.8529999999992","1960","1960","167614","U","false","","false","true","44322","false","0","2","GOVERNMENT POLYTECHNIC BIDAR","2015","163167","163154","163150","","17.4212500000000006","77.3912499999999994","88591","","false","false","true","false","false","585401","false","","","false"
