"standalone_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"12018","2015","518092"
"12018","2015","518093"
"12018","2015","518094"
"6468","2015","518107"
"6468","2015","518108"
"6468","2015","518109"
"9629","2015","518135"
"9629","2015","518136"
"9629","2015","518137"
"9659","2015","518159"
"9659","2015","518160"
"9659","2015","518161"
"9633","2015","518207"
"9633","2015","518208"
"9633","2015","518209"
"1910","2015","518212"
"1910","2015","518213"
"1910","2015","518214"
"1910","2015","518215"
"10138","2015","518226"
"10138","2015","518227"
"10138","2015","518228"
"12209","2015","518231"
"12209","2015","518232"
"12209","2015","518233"
"9703","2015","518261"
"9703","2015","518262"
"9703","2015","518263"
"3219","2015","518335"
"3219","2015","518336"
"3219","2015","518337"
"3219","2015","518338"
"3219","2015","518339"
"4884","2015","518369"
"4884","2015","518370"
"4884","2015","518371"
"4884","2015","518372"
"4884","2015","518373"
"2253","2015","518392"
"2253","2015","518393"
"2253","2015","518394"
"6245","2015","518481"
"6245","2015","518482"
"6245","2015","518483"
"15022","2015","518513"
"15022","2015","518514"
"15022","2015","518515"
"4383","2015","518523"
"4383","2015","518524"
"10067","2015","518525"
"10067","2015","518526"
"10067","2015","518527"
"3940","2015","518528"
"3940","2015","518529"
"3940","2015","518530"
"3940","2015","518531"
"3940","2015","518532"
"10081","2015","518592"
"10081","2015","518593"
"10081","2015","518594"
"6890","2015","518610"
"6890","2015","518611"
"6890","2015","518612"
"5684","2015","518657"
"5684","2015","518658"
"5684","2015","518659"
"9756","2015","518665"
"9756","2015","518666"
"9756","2015","518667"
"10016","2015","518712"
"10016","2015","518713"
"10016","2015","518714"
"9516","2015","518729"
"9516","2015","518730"
"9516","2015","518731"
"5790","2015","518748"
"5790","2015","518749"
"5790","2015","518750"
"3477","2015","518788"
"3477","2015","518789"
"3477","2015","518790"
"6896","2015","518798"
"6896","2015","518799"
"6896","2015","518800"
"5829","2015","518813"
"5829","2015","518814"
"10454","2015","518893"
"10454","2015","518894"
"10454","2015","518895"
"9073","2015","518896"
"9073","2015","518897"
"9073","2015","518898"
"9785","2015","518912"
"9785","2015","518913"
"9785","2015","518914"
"12077","2015","518915"
"12077","2015","518916"
"12077","2015","518917"
"2407","2015","518945"
"2407","2015","518946"
"2407","2015","518947"
"2407","2015","518948"
"2407","2015","518949"
"8852","2015","518975"
"8852","2015","518976"
"8852","2015","518977"
"1861","2015","519007"
"1861","2015","519008"
"1861","2015","519009"
"1861","2015","519010"
"1861","2015","519011"
"9848","2015","519017"
"9848","2015","519018"
"9848","2015","519019"
"2994","2015","519035"
"2994","2015","519036"
"2994","2015","519037"
"5806","2015","519038"
"5806","2015","519039"
"5806","2015","519040"
"9022","2015","519101"
"9022","2015","519102"
"9022","2015","519103"
"13483","2015","519131"
"13483","2015","519132"
"13483","2015","519133"
"13483","2015","519134"
"3779","2015","519142"
"3779","2015","519143"
"3779","2015","519144"
"9647","2015","519150"
"9647","2015","519151"
"9647","2015","519152"
"5403","2015","519161"
"5403","2015","519162"
"5403","2015","519163"
"5403","2015","519164"
"9611","2015","519196"
"9611","2015","519197"
"9611","2015","519198"
"10179","2015","519211"
"10179","2015","519212"
"10179","2015","519213"
"4070","2015","519230"
"4070","2015","519231"
"4070","2015","519232"
"4400","2015","519236"
"4400","2015","519237"
"9640","2015","519245"
"9640","2015","519246"
"9640","2015","519247"
"14862","2015","519299"
"14862","2015","519300"
"14862","2015","519301"
"14895","2015","519315"
"14895","2015","519316"
"14895","2015","519317"
"9307","2015","519367"
"9307","2015","519368"
"9307","2015","519369"
"10984","2015","519394"
"10984","2015","519395"
"10984","2015","519396"
"1190","2015","519397"
"1190","2015","519398"
"1190","2015","519399"
"1190","2015","519400"
"1392","2015","519408"
"1392","2015","519409"
"2177","2015","519430"
"2177","2015","519431"
"2177","2015","519432"
"2177","2015","519433"
"3745","2015","519466"
"3745","2015","519467"
"3745","2015","519468"
"3745","2015","519469"
"14168","2015","519550"
"14168","2015","519551"
"5396","2015","519597"
"5396","2015","519598"
"9188","2015","519604"
"9188","2015","519605"
"9188","2015","519606"
"9188","2015","519607"
"6130","2015","519608"
"6130","2015","519609"
"6130","2015","519610"
"9636","2015","519633"
"9636","2015","519634"
"9636","2015","519635"
"9012","2015","519651"
"9012","2015","519652"
"9012","2015","519653"
"14998","2015","519654"
"14998","2015","519655"
"14998","2015","519656"
"7922","2015","519665"
"7922","2015","519666"
"7922","2015","519667"
"9841","2015","519779"
"9841","2015","519780"
"9841","2015","519781"
"9931","2015","519806"
"9931","2015","519807"
"9931","2015","519808"
"4596","2015","519864"
"4596","2015","519865"
"4596","2015","519866"
"9387","2015","519870"
"9387","2015","519871"
"9387","2015","519872"
"670","2015","519873"
"670","2015","519874"
"670","2015","519875"
"670","2015","519876"
"2180","2015","519926"
"2180","2015","519927"
"2180","2015","519928"
"2180","2015","519929"
"9938","2015","519932"
"9938","2015","519933"
"9938","2015","519934"
"1126","2015","519953"
"1126","2015","519954"
"10139","2015","520016"
"10139","2015","520017"
"10139","2015","520018"
"5766","2015","520022"
"5766","2015","520023"
"5766","2015","520024"
"14071","2015","520049"
"14071","2015","520050"
"14071","2015","520051"
"10109","2015","520070"
"10109","2015","520071"
"9603","2015","520096"
"9603","2015","520097"
"9603","2015","520098"
"9166","2015","520107"
"9166","2015","520108"
"9166","2015","520109"
"9166","2015","520110"
"2130","2015","520208"
"2130","2015","520209"
"2130","2015","520210"
"2130","2015","520211"
"2130","2015","520212"
"2130","2015","520213"
"4618","2015","520229"
"4618","2015","520230"
"4618","2015","520231"
"9812","2015","520249"
"9812","2015","520250"
"9812","2015","520251"
"2857","2015","520252"
"2857","2015","520253"
"2857","2015","520254"
"14606","2015","520295"
"14606","2015","520296"
"14606","2015","520297"
"14606","2015","520298"
"9391","2015","520342"
"9391","2015","520343"
"9391","2015","520344"
"14997","2015","520345"
"14997","2015","520346"
"14997","2015","520347"
"1379","2015","520354"
"1379","2015","520355"
"1379","2015","520356"
"1644","2015","520413"
"1644","2015","520414"
"1644","2015","520415"
"1644","2015","520416"
"1644","2015","520417"
"3794","2015","520420"
"3794","2015","520421"
"3794","2015","520422"
"9581","2015","520459"
"9581","2015","520460"
"9581","2015","520461"
"14428","2015","520477"
"14428","2015","520478"
"14428","2015","520479"
"14428","2015","520480"
"9935","2015","520499"
"9935","2015","520500"
"9935","2015","520501"
"9935","2015","520502"
"10014","2015","520514"
"10014","2015","520515"
"10014","2015","520516"
"5889","2015","520560"
"5889","2015","520561"
"5889","2015","520562"
"14424","2015","520621"
"14424","2015","520622"
"14424","2015","520623"
"14424","2015","520624"
"14424","2015","520625"
"13800","2015","520633"
"13800","2015","520634"
"13800","2015","520635"
"12786","2015","520646"
"12786","2015","520647"
"12786","2015","520648"
"12694","2015","520660"
"12694","2015","520661"
"12694","2015","520662"
"2165","2015","520725"
"2165","2015","520726"
"2165","2015","520727"
"2165","2015","520728"
"2165","2015","520729"
"2165","2015","520730"
"2165","2015","520731"
"2165","2015","520732"
"9255","2015","520761"
"9255","2015","520762"
"9255","2015","520763"
"7896","2015","520802"
"7896","2015","520803"
"7896","2015","520804"
"2828","2015","520830"
"2828","2015","520831"
"2828","2015","520832"
"2828","2015","520833"
"2828","2015","520834"
"6165","2015","520850"
"6165","2015","520851"
"6165","2015","520852"
"6165","2015","520853"
"9025","2015","520964"
"9025","2015","520965"
"9025","2015","520966"
"1445","2015","520998"
"1445","2015","520999"
"1445","2015","521000"
"12640","2015","521019"
"12640","2015","521020"
"12640","2015","521021"
"6535","2015","521161"
"6535","2015","521162"
"6535","2015","521163"
"12030","2015","521210"
"12030","2015","521211"
"12030","2015","521212"
"12030","2015","521213"
