table_name,attribute_name,attribute_type,Description
,name,varchar,
,students_residing,int4,
,type_id,bpchar,REFERENCES ref_student_hostel_type(id)
,,,
teaching_staff,department_name,varchar,
,faculty_name,varchar,
,id,int4,
,,,
teaching_staff_count,count_by_category_id,int4,REFERENCES persons_count_by_category(id)
,designation_id,bpchar,REFERENCES ref_teaching_staff_designation(id)
,teaching_staff_id,int4,REFERENCES teaching_staff(id)
,id,int4,
,selection_mode_id,bpchar,REFERENCES ref_teaching_staff_selection_mode(id)
,grade_pay,varchar,
,,,
teaching_staff_sanctioned_strength,designation_id,bpchar,REFERENCES ref_teaching_staff_designation(id)
,id,int4,
,in_position,int4,
,sanctioned_strength,int4,
,vacancy,int4,
,,,
university,address_line1,varchar,
,address_line2,varchar,
,area,float8,
,city,varchar,
,constituted_from_colleges,bool,
,constructed_area,float8,
,district_code,bpchar,"REFERENCES ref_district(st_code, dist_code)"
,financial_expenditure_id,int4,REFERENCES financial_expenditure(id)
,financial_income_id,int4,REFERENCES financial_income(id)
,girl_exclusive,bool,
,has_department_regular_courses,bool,
,has_faculty_regular_courses,bool,
,has_other_regular_courses,bool,
,id,bpchar,"REFERENCES ref_university(id, survey_year)"
,infrastructure_id,int4,REFERENCES infrastructure(id)
,is_accredited,bool,
,is_foreign_students_enrolled,bool,
,latitude,float8,
,loan_id,int4,REFERENCES loan(id)
,location,varchar,
,longitude,float8,
,name,varchar,
,no_of_regional_centers,int4,
,no_of_student_hostel,int4,
,nodal_officer_id,int4,REFERENCES nodal_officer(id)
,offers_distance_programme,bool,
,offers_loan,bool,
,offers_scholarship,bool,
,other_speciality,varchar,
,other_university_type,varchar,
,remarks,varchar,
,scholarship_id,int4,REFERENCES scholarship(id)
,speciality_id,varchar,REFERENCES ref_speciality(id)
,specialized,bool,
,staff_quarter_available,bool,
,staff_quarter_id,int4,REFERENCES staff_quarter(id)
,state_code,bpchar,"REFERENCES ref_district(st_code, dist_code)"
,student_hostel_available,bool,
,survey_year,int4,"REFERENCES ref_university(id, survey_year)"
,type_id,bpchar,REFERENCES ref_university_type(id)
,website,varchar,
,year_of_establishment,int4,
,year_when_declared_university,int4,
,,,
university_accreditation,accreditation_id,int4,REFERENCES accreditation(id)
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_college_examination_result,college_id,int4,"REFERENCES college(id, survey_year)"
,examination_result_id,int4,REFERENCES examination_result(id)
,survey_year,int4,"REFERENCES college(id, survey_year)"
,,,
