"college_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"22","2015","512551"
"1207","2015","512552"
"1207","2015","512553"
"1207","2015","512554"
"42932","2015","512558"
"42932","2015","512559"
"42932","2015","512560"
"6895","2015","512561"
"6895","2015","512562"
"6895","2015","512563"
"1039","2015","512564"
"1039","2015","512565"
"1039","2015","512566"
"1039","2015","512567"
"1039","2015","512568"
"6640","2015","512569"
"6640","2015","512570"
"6640","2015","512571"
"693","2015","512575"
"693","2015","512576"
"693","2015","512577"
"7150","2015","512578"
"7150","2015","512579"
"7150","2015","512580"
"10684","2015","512586"
"10684","2015","512587"
"10684","2015","512588"
"10684","2015","512589"
"10684","2015","512590"
"50653","2015","512591"
"50653","2015","512592"
"50653","2015","512593"
"47885","2015","512594"
"47885","2015","512595"
"47885","2015","512596"
"47885","2015","512597"
"47885","2015","512598"
"47885","2015","512599"
"6806","2015","512600"
"6806","2015","512601"
"6806","2015","512602"
"6806","2015","512603"
"6806","2015","512604"
"8649","2015","512605"
"8649","2015","512606"
"45277","2015","512607"
"45277","2015","512608"
"45277","2015","512609"
"45277","2015","512610"
"45277","2015","512611"
"685","2015","512612"
"685","2015","512613"
"685","2015","512614"
"685","2015","512615"
"5900","2015","512622"
"5900","2015","512623"
"5900","2015","512624"
"47252","2015","512625"
"47252","2015","512626"
"47252","2015","512627"
"17690","2015","512628"
"17690","2015","512629"
"17690","2015","512630"
"7210","2015","512631"
"7210","2015","512632"
"7210","2015","512633"
"7210","2015","512634"
"7210","2015","512635"
"7210","2015","512636"
"50321","2015","512643"
"50321","2015","512644"
"50321","2015","512645"
"1161","2015","512652"
"1161","2015","512653"
"1161","2015","512654"
"1161","2015","512655"
"1161","2015","512656"
"22182","2015","512673"
"22182","2015","512674"
"22182","2015","512675"
"22182","2015","512676"
"22182","2015","512677"
"22182","2015","512678"
"45264","2015","512679"
"45264","2015","512680"
"45264","2015","512681"
"45264","2015","512682"
"15134","2015","512688"
"15134","2015","512689"
"7184","2015","512690"
"7184","2015","512691"
"7184","2015","512692"
"5950","2015","512693"
"5950","2015","512694"
"5950","2015","512695"
"5950","2015","512696"
"45110","2015","512697"
"45110","2015","512698"
"45110","2015","512699"
"6188","2015","512706"
"6188","2015","512707"
"6188","2015","512708"
"6302","2015","512709"
"6302","2015","512710"
"6302","2015","512711"
"6302","2015","512712"
"6302","2015","512713"
"6302","2015","512714"
"6662","2015","512715"
"6662","2015","512716"
"6662","2015","512717"
"6133","2015","512718"
"6133","2015","512719"
"6133","2015","512720"
"6133","2015","512721"
"6133","2015","512722"
"6133","2015","512723"
"6133","2015","512724"
"7206","2015","512725"
"7206","2015","512726"
"7206","2015","512727"
"32","2015","512728"
"32","2015","512729"
"32","2015","512730"
"32","2015","512731"
"32","2015","512732"
"47253","2015","512733"
"47253","2015","512734"
"47253","2015","512735"
"20646","2015","512736"
"20646","2015","512737"
"20646","2015","512738"
"20646","2015","512739"
"13927","2015","512740"
"13927","2015","512741"
"13927","2015","512742"
"13927","2015","512743"
"13927","2015","512744"
"25742","2015","512752"
"25742","2015","512753"
"25742","2015","512754"
"313","2015","512768"
"313","2015","512769"
"313","2015","512770"
"6077","2015","512771"
"6077","2015","512772"
"6077","2015","512773"
"6077","2015","512774"
"557","2015","512775"
"557","2015","512776"
"557","2015","512777"
"557","2015","512778"
"557","2015","512779"
"557","2015","512780"
"557","2015","512781"
"47925","2015","512788"
"47925","2015","512789"
"47925","2015","512790"
"182","2015","512791"
"182","2015","512792"
"182","2015","512793"
"182","2015","512794"
"182","2015","512795"
"5793","2015","512796"
"5793","2015","512797"
"5793","2015","512798"
"27214","2015","512799"
"27214","2015","512800"
"27214","2015","512801"
"27214","2015","512802"
"42098","2015","512803"
"42098","2015","512804"
"42098","2015","512805"
"47832","2015","512825"
"47832","2015","512826"
"47832","2015","512827"
"47832","2015","512828"
"19665","2015","512829"
"19665","2015","512830"
"19665","2015","512831"
"19665","2015","512832"
"19665","2015","512833"
"52045","2015","512834"
"52045","2015","512835"
"52045","2015","512836"
"52045","2015","512837"
"6258","2015","512844"
"6258","2015","512845"
"6258","2015","512846"
"6258","2015","512847"
"6332","2015","512848"
"6332","2015","512849"
"6332","2015","512850"
"6332","2015","512851"
"6332","2015","512852"
"6332","2015","512853"
"6332","2015","512854"
"6307","2015","512855"
"6307","2015","512856"
"6307","2015","512857"
"49484","2015","512865"
"49484","2015","512866"
"49484","2015","512867"
"49484","2015","512868"
"49484","2015","512869"
"48503","2015","512872"
"48503","2015","512873"
"48503","2015","512874"
"45223","2015","512875"
"45223","2015","512876"
"45223","2015","512877"
"52077","2015","512878"
"52077","2015","512879"
"52077","2015","512880"
"81","2015","512887"
"81","2015","512888"
"81","2015","512889"
"6082","2015","512890"
"6082","2015","512891"
"6082","2015","512892"
"6082","2015","512893"
"6082","2015","512894"
"47251","2015","512898"
"47251","2015","512899"
"47251","2015","512900"
"47251","2015","512901"
"47251","2015","512902"
"47251","2015","512903"
"6234","2015","512907"
"6234","2015","512908"
"6234","2015","512909"
"6234","2015","512910"
"6234","2015","512911"
"48834","2015","512920"
"48834","2015","512921"
