"standalone_institution_id","student_hostel_id","survey_year"
"9257","154435","2015"
"9257","154436","2015"
"14609","154437","2015"
"14609","154438","2015"
"14734","154442","2015"
"14441","154458","2015"
"14441","154459","2015"
"7414","154467","2015"
"1034","154493","2015"
"1034","154494","2015"
"1034","154495","2015"
"947","154501","2015"
"4108","154502","2015"
"4108","154503","2015"
"6452","154514","2015"
"6452","154515","2015"
"1729","154526","2015"
"1503","154527","2015"
"2345","154530","2015"
"2345","154531","2015"
"2345","154532","2015"
"5325","154546","2015"
"1335","154548","2015"
"1335","154549","2015"
"3589","154582","2015"
"6292","154585","2015"
"6292","154586","2015"
"14693","154589","2015"
"14693","154590","2015"
"936","154598","2015"
"936","154599","2015"
"936","154600","2015"
"13984","154601","2015"
"13995","154614","2015"
"13991","154617","2015"
"13991","154618","2015"
"1753","154649","2015"
"11151","154658","2015"
"10044","154668","2015"
"10044","154669","2015"
"2375","154675","2015"
"2375","154676","2015"
"2375","154677","2015"
"2375","154678","2015"
"1210","154683","2015"
"1210","154684","2015"
"4746","154708","2015"
"2437","154714","2015"
"2437","154715","2015"
"9679","154736","2015"
"9679","154737","2015"
"14614","154742","2015"
"1275","154754","2015"
"5439","154757","2015"
"14157","154771","2015"
"1234","154807","2015"
"6082","154810","2015"
"3742","154811","2015"
"12322","154829","2015"
"1347","154832","2015"
"1408","154833","2015"
"14013","154851","2015"
"2972","154876","2015"
"2972","154877","2015"
"9199","154885","2015"
"5457","154893","2015"
"3216","154924","2015"
"3216","154925","2015"
"3216","154926","2015"
"4016","154935","2015"
"1441","154941","2015"
"1441","154942","2015"
"9297","154948","2015"
"14001","154981","2015"
"9106","154998","2015"
"13975","155004","2015"
"13975","155005","2015"
"13975","155006","2015"
"13975","155007","2015"
"1240","155040","2015"
"14027","155055","2015"
"10841","155070","2015"
"10841","155071","2015"
"1356","155127","2015"
"1356","155128","2015"
"189","155153","2015"
"189","155154","2015"
"8907","155168","2015"
"8907","155169","2015"
"3027","155184","2015"
"3027","155185","2015"
"1452","155194","2015"
"14174","155285","2015"
"14174","155286","2015"
"13978","155291","2015"
"8825","155330","2015"
"8825","155331","2015"
"3789","155390","2015"
"5468","155424","2015"
"559","155462","2015"
"1370","155464","2015"
"1370","155465","2015"
"5808","155476","2015"
"14178","155497","2015"
"14178","155498","2015"
"14178","155499","2015"
"1721","155501","2015"
"1721","155502","2015"
"14538","155510","2015"
