"id","intake_capacity","name","students_residing","type_id"
"189873","20","BBSIMT","0","1"
"181916","30","BIDHAN BHAWAN","30","1"
"169772","640","Lords","227","1"
"175833","50","No name given","12","2"
"188112","50","CHAITANYA HOSTEL","24","2"
"172918","76","UTTARAYAN (SHARED RESOURCE INTEGRATED CAMPUS)","19","1"
"154493","94","Boys Hostel No-5","80","1"
"154527","50","Ladies Hostel","0","2"
"192206","8","BETHANY HOSTEL (PG)","8","1"
"155141","200","UMA KANYA CHATRALAY","110","2"
"153435","40","girls","14","2"
"163798","75","Girls Hostel No. -2","75","2"
"173241","40","GIRLS HOSTEL","20","2"
"175263","50","Mens Hostel","15","1"
"189791","50","DIET boys hostel","0","1"
"178284","268","Bhavani(North)","256","2"
"188151","275","BOYS HOSTEL A BLOCK","6","1"
"169681","120","GAMC BOYS HOSTEL","86","1"
"172342","400","O.P.R MEMORIAL NURSING HOSTEL","227","2"
"182900","182","H5-BRIHASPATI","180","1"
"155111","60","MNR PG Girls Hostel","3","2"
"176022","44","LADIES HOSTEL -II (FOR PG & H.S STUDENTS)","40","2"
"189743","150","AMOGHA","109","1"
"170750","50","Vivekanad Boyes Hostel","1","1"
"150605","520","Shanti Sadan Hostel","15","2"
"155387","100","Chamarajendra Boys Hostel","100","1"
"183878","496","Girls Hostel","90","2"
"152609","30","Dayanand Girls Hostel","16","2"
"180332","33","UGC HOSTAL","0","2"
"173836","100","DSPC GIRLS HOSTEL","55","2"
"176152","24","Girls Hostel 2","24","2"
"178462","64","sukanya","63","2"
"188217","180","Government Polytechnic, Boys","176","1"
"178979","200","A BLOCK","120","2"
"165732","56","Indira Miri Girls Hostel","0","2"
"166728","600","AMC  Hostel","143","1"
"175993","30","CIRHSS","0","2"
"189362","240","MANDAKINI LADIES HOSTEL","240","2"
"167208","288","Bapuji B School Executive Hostel for Boys, Davangere","50","1"
"187459","110","cherraans boys hostel","80","1"
"154370","150","junagadh kelavani mandal ptc hostel","0","2"
"187655","300","Boys Hostel","135","1"
"188053","123","MAYURAKSHI HOSTEL","25","2"
"162197","180","BITS BOYS HOSTEL","145","1"
"193146","200","PRRM LADIES HOSTEL","109","2"
"178032","200","Nurses Girls Hostel","150","2"
"190719","200","A.G.P.P.I.","17","1"
"162589","72","Shastri Bhawan (H-4)","72","1"
"152884","25","BVB WOMEN'S HOSTEL","14","2"
"174214","160","Red Fort hostel","139","1"
"158188","135","Boys Hostel","30","1"
"166390","142","BOYS HOSTEL","142","1"
"169116","65","GIRLS HOSTEL","40","2"
"179769","300","Gautam Girls College Hamirpur","20","2"
"167129","100","girls hostel","16","2"
"184314","248","UG New block","496","2"
"178374","411","SVU COLLEGE OF COMMERCE HOSTEL (D)","0","1"
"183010","80","Pandit Nehru Hostel (Jr College Bhavan)","53","1"
"191341","30","IITTM GIRLS HOSTEL","0","2"
"155456","80","Annapuma Girls Hostel","10","2"
"174838","240","PRINCETOBN GIRLS HOSTEL","100","2"
"163747","477","RITE BOY'S HOSTEL","272","1"
"168543","40","Boys Hostel","40","1"
"187086","100","St. John's Girls Hostel Anx3","30","2"
"172755","150","btl boys hostel","50","1"
"181540","100","nursing student's hostel","1","2"
"150159","150","Girls Hostel","17","2"
"155035","448","Torna","448","1"
"182527","500","Sri Ramana Maharshi Girls Hostel","120","2"
"183318","100","Girls","100","2"
"168909","198","Jade","112","1"
"159428","148","Old Men's Hostel No. 1","148","1"
"163345","450","Campus Hostel 1","175","1"
"177562","180","Darulbanath Hostel","7","2"
"184152","50","Kanaka Boys Hostel","0","1"
"150687","144","Adarsha Hostel - Block A","123","1"
"168962","104","KIOT Girls Hostel","63","2"
"190887","400","MES Dental College Girls Hostel","300","2"
"164056","250","MEERABAI CHHATRAVAS","120","2"
"189999","100","GIRLS HOSTEL","45","2"
"186412","100","RANI LAXMIBAI HOSTEL, BABHULGAON","40","2"
"186703","120","N.R.C Hostel 2","0","2"
"188852","162","B","55","2"
"184235","50","GIRLS HOSTEL","25","2"
"182173","122","Parvati Hostel","120","2"
"171416","220","Chaitanya Girls Hostel","200","2"
"192257","32","NEW GIRLS HOSTEL","40","2"
"153953","120","HIMSAR HOSTEL","107","1"
"169970","100","SRSIT Girls Hostel","20","2"
"162335","150","SPGC Hostel","150","1"
"175387","120","TPCE ON CAMPUS GIRLS HOSTEL","100","2"
"185403","60","Girls Hostel","60","2"
"160405","120","Zakir Husain Hall (03 seater rooms)","264","1"
"169600","200","Girls Hostel","60","2"
"166438","300","G R R CON GIRLS HOSTEL","275","2"
"179548","110","Researchers' Hostel for Men","108","1"
"178769","100","Sailasuta Nanda Hostel","100","1"
"181394","325","Maharaja's Hostel","275","1"
"174218","95","Vaigai Hostel","92","2"
"153996","100","Chandra Prabha Hostel","20","1"
"155128","100","SIET Hostel","50","1"
"172289","225","GSCON Girls Hostel Block-A & B","298","2"
"191257","100","Boys hostel","0","1"
"172969","30","RMES girls hostel 1","20","2"
"189115","30","Aanchal","0","2"
"171803","100","MLR HOSTEL FOR BOYS","4","1"
"187504","36","Sinhgad Hostel","0","3"
"170205","35","Amguri College Girls' Hostel","23","2"
"177373","100","Raghu Hostel","16","2"
"151348","198","Boys Hostel-III","0","1"
"150936","312","Block C","152","1"
"172039","523","VIVEKANAND BHAWAN","206","1"
"192157","50","Sambhram B2 Hostel","20","1"
"187423","48","Boys Hostel First","0","1"
"159055","350","Appa Womens Hostel","350","2"
"164783","50","Shri Agrasen Girls Hostel","0","2"
"174481","77","GIRLS HOSTEL 721/21 A","22","2"
