"college_institution_id","student_hostel_id","survey_year"
"45055","149130","2015"
"45055","149131","2015"
"50255","149132","2015"
"42191","149134","2015"
"50909","149137","2015"
"6001","149139","2015"
"6001","149140","2015"
"44671","149141","2015"
"40593","149144","2015"
"40593","149145","2015"
"41308","149146","2015"
"7467","149150","2015"
"1138","149152","2015"
"1138","149153","2015"
"849","149155","2015"
"978","149156","2015"
"6766","149160","2015"
"42915","149163","2015"
"6270","149166","2015"
"6270","149167","2015"
"6270","149168","2015"
"6270","149169","2015"
"6270","149170","2015"
"6270","149171","2015"
"6270","149172","2015"
"32958","149174","2015"
"8420","149180","2015"
"39517","149181","2015"
"39517","149182","2015"
"45648","149183","2015"
"45648","149184","2015"
"42037","149185","2015"
"14682","149188","2015"
"14682","149189","2015"
"37076","149190","2015"
"40275","149191","2015"
"24269","149192","2015"
"25931","149195","2015"
"132","149196","2015"
"132","149197","2015"
"1205","149200","2015"
"1205","149201","2015"
"171","149208","2015"
"171","149209","2015"
"9296","149219","2015"
"9296","149220","2015"
"43058","149228","2015"
"43058","149229","2015"
"47909","149230","2015"
"47909","149231","2015"
"9107","149232","2015"
"9107","149233","2015"
"44","149240","2015"
"44","149241","2015"
"44","149242","2015"
"6014","149243","2015"
"50010","149244","2015"
"48505","149250","2015"
"1194","149251","2015"
"1194","149252","2015"
"46565","149253","2015"
"46565","149254","2015"
"789","149257","2015"
"40601","149262","2015"
"40601","149263","2015"
"30388","149269","2015"
"34520","149274","2015"
"34520","149275","2015"
"50016","149277","2015"
"50016","149278","2015"
"40209","149281","2015"
"40209","149282","2015"
"40209","149283","2015"
"40209","149284","2015"
"1055","149285","2015"
"50863","149286","2015"
"50863","149287","2015"
"1006","149297","2015"
"1052","149298","2015"
"15705","149299","2015"
"15705","149300","2015"
"523","149301","2015"
"523","149302","2015"
"260","149308","2015"
"260","149309","2015"
"384","149317","2015"
"384","149318","2015"
"45600","149319","2015"
"45600","149320","2015"
"519","149325","2015"
"8157","149358","2015"
"8157","149359","2015"
"8157","149360","2015"
"8157","149361","2015"
"794","149362","2015"
"794","149363","2015"
"18290","149375","2015"
"18290","149376","2015"
"39577","149378","2015"
"39577","149379","2015"
"145","149380","2015"
"43011","149381","2015"
"40140","149386","2015"
"40140","149387","2015"
"40140","149388","2015"
"25572","149392","2015"
"25572","149393","2015"
"303","149400","2015"
"370","149403","2015"
"51604","149404","2015"
"4112","149405","2015"
"4112","149406","2015"
"4112","149407","2015"
"17858","149412","2015"
"17858","149413","2015"
"24966","149414","2015"
"24966","149415","2015"
"24966","149416","2015"
"642","149420","2015"
"40404","149423","2015"
"40404","149424","2015"
"43098","149427","2015"
"40224","149428","2015"
"40224","149429","2015"
"44937","149432","2015"
"44937","149433","2015"
"7203","149434","2015"
"18348","149439","2015"
"18348","149440","2015"
"1046","149441","2015"
"156","149456","2015"
"156","149457","2015"
"959","149461","2015"
"959","149462","2015"
"41503","149463","2015"
"5830","149468","2015"
"5830","149469","2015"
"5830","149470","2015"
"10348","149476","2015"
"10348","149477","2015"
"4100","149482","2015"
"4100","149483","2015"
"4121","149485","2015"
"4121","149486","2015"
"44820","149487","2015"
"44820","149488","2015"
"44820","149489","2015"
"48518","149490","2015"
"48518","149491","2015"
"831","149500","2015"
"13943","149505","2015"
"13943","149506","2015"
"5903","149507","2015"
"5903","149508","2015"
"41620","149515","2015"
"41620","149516","2015"
"54","149517","2015"
"54","149518","2015"
"26836","149521","2015"
"420","149523","2015"
"420","149524","2015"
"44138","149525","2015"
"41334","149526","2015"
"41334","149527","2015"
"42040","149537","2015"
"44497","149538","2015"
"44497","149539","2015"
"44497","149540","2015"
"44497","149541","2015"
"25426","149555","2015"
