,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers
397,191317,1.0,1.0,1.0,1.0,1.0
398,182764,1.0,3.0,1.0,1.0,1.0
399,183161,1.0,5.0,1.0,1.0,1.0
400,168613,1.0,18.0,1.0,1.0,1.0
401,164265,1.0,1.0,1.0,1.0,1.0
402,175276,1.0,17.0,0.0,0.0,1.0
403,189960,1.0,1.0,1.0,0.0,0.0
404,169597,1.0,1.0,0.0,0.0,1.0
405,157205,1.0,1.0,1.0,0.0,1.0
406,205730,1.0,1.0,1.0,0.0,1.0
407,162961,1.0,0.0,0.0,0.0,1.0
408,197342,1.0,1.0,1.0,0.0,1.0
409,199694,1.0,1.0,1.0,0.0,0.0
410,166647,1.0,1.0,1.0,1.0,1.0
411,183833,1.0,1.0,1.0,1.0,1.0
412,190813,1.0,1.0,0.0,0.0,1.0
413,188798,1.0,1.0,0.0,0.0,1.0
414,165128,1.0,4.0,0.0,1.0,0.0
415,155120,1.0,0.0,1.0,0.0,1.0
416,187102,1.0,0.0,0.0,0.0,1.0
417,156455,1.0,0.0,1.0,0.0,1.0
418,191934,0.0,0.0,0.0,0.0,0.0
419,192488,1.0,2.0,1.0,1.0,2.0
420,203365,1.0,1.0,1.0,0.0,1.0
421,200414,1.0,0.0,0.0,0.0,0.0
422,165213,1.0,7.0,1.0,0.0,1.0
423,194957,1.0,0.0,1.0,0.0,1.0
424,175562,1.0,1.0,1.0,1.0,1.0
425,185379,1.0,1.0,1.0,0.0,1.0
426,185907,1.0,0.0,0.0,0.0,1.0
427,207410,0.0,0.0,0.0,0.0,0.0
428,202321,1.0,1.0,1.0,0.0,1.0
429,176289,1.0,1.0,1.0,1.0,1.0
430,199675,1.0,1.0,1.0,0.0,1.0
431,188290,1.0,1.0,1.0,1.0,1.0
432,194982,1.0,1.0,1.0,1.0,1.0
433,156898,1.0,0.0,1.0,1.0,1.0
434,207459,1.0,1.0,1.0,1.0,1.0
435,180023,1.0,0.0,1.0,1.0,1.0
436,182427,1.0,0.0,1.0,0.0,3.0
437,171037,1.0,1.0,1.0,0.0,1.0
438,181441,1.0,1.0,1.0,1.0,1.0
439,180873,5.0,29.0,1.0,0.0,1.0
440,200677,1.0,1.0,1.0,1.0,1.0
441,198519,1.0,1.0,2.0,1.0,1.0
442,197394,1.0,1.0,1.0,1.0,1.0
443,169112,2.0,10.0,2.0,1.0,3.0
444,170158,1.0,0.0,1.0,0.0,1.0
445,182013,1.0,1.0,1.0,0.0,1.0
446,197095,1.0,18.0,1.0,1.0,1.0
447,205230,1.0,0.0,1.0,0.0,1.0
448,206794,1.0,0.0,0.0,0.0,1.0
449,182079,1.0,0.0,1.0,1.0,1.0
450,193728,1.0,9.0,1.0,1.0,1.0
451,189198,1.0,1.0,0.0,0.0,0.0
452,206288,1.0,1.0,1.0,1.0,1.0
453,180940,2.0,24.0,2.0,1.0,8.0
454,199378,1.0,9.0,0.0,0.0,1.0
455,170058,1.0,0.0,1.0,0.0,1.0
456,201067,1.0,1.0,1.0,0.0,1.0
457,207782,1.0,0.0,0.0,0.0,1.0
458,157283,1.0,1.0,1.0,0.0,1.0
459,155509,1.0,1.0,1.0,1.0,1.0
460,180802,1.0,1.0,1.0,1.0,1.0
461,186021,1.0,1.0,1.0,1.0,1.0
462,177240,1.0,1.0,1.0,0.0,1.0
463,189821,1.0,46.0,0.0,1.0,3.0
464,203660,1.0,1.0,1.0,0.0,1.0
465,163270,1.0,0.0,0.0,0.0,1.0
466,169679,1.0,1.0,0.0,0.0,1.0
467,206159,1.0,1.0,1.0,1.0,1.0
468,168281,1.0,1.0,1.0,1.0,1.0
469,165731,1.0,6.0,1.0,0.0,1.0
470,156868,1.0,1.0,1.0,0.0,1.0
471,198127,1.0,1.0,0.0,1.0,1.0
472,157749,1.0,14.0,1.0,0.0,1.0
473,199159,1.0,1.0,0.0,0.0,0.0
474,181967,1.0,1.0,1.0,1.0,1.0
475,184783,1.0,0.0,1.0,0.0,1.0
476,154646,1.0,0.0,1.0,1.0,1.0
477,188223,1.0,1.0,0.0,0.0,0.0
478,177060,1.0,1.0,1.0,1.0,1.0
479,203586,1.0,25.0,1.0,0.0,1.0
480,174328,1.0,0.0,1.0,0.0,1.0
481,190183,1.0,70.0,1.0,0.0,1.0
482,157464,1.0,1.0,1.0,0.0,1.0
483,198265,1.0,1.0,0.0,0.0,1.0
484,181598,1.0,1.0,0.0,0.0,1.0
485,165844,1.0,1.0,1.0,0.0,1.0
486,207079,1.0,1.0,0.0,0.0,1.0
487,188740,1.0,1.0,1.0,0.0,1.0
488,189537,1.0,1.0,1.0,1.0,1.0
489,201563,1.0,8.0,1.0,0.0,1.0
490,202080,1.0,1.0,1.0,1.0,1.0
491,176799,1.0,0.0,0.0,0.0,0.0
492,183438,1.0,1.0,1.0,1.0,1.0
493,207883,1.0,1.0,1.0,1.0,1.0
494,197073,1.0,1.0,1.0,0.0,1.0
495,182987,1.0,40.0,2.0,1.0,1.0
496,195591,1.0,0.0,0.0,1.0,1.0
497,169156,1.0,1.0,1.0,1.0,1.0
498,167613,1.0,3.0,0.0,0.0,0.0
499,187013,1.0,1.0,1.0,0.0,1.0
500,209483,1.0,1.0,1.0,1.0,1.0
501,172937,1.0,1.0,0.0,0.0,1.0
502,176239,1.0,4.0,2.0,1.0,1.0
503,169198,1.0,1.0,1.0,0.0,1.0
504,176957,1.0,1.0,1.0,1.0,1.0
505,196244,1.0,5.0,1.0,0.0,1.0
506,171925,1.0,1.0,1.0,0.0,1.0
507,210121,1.0,1.0,1.0,0.0,1.0
508,207974,1.0,1.0,1.0,1.0,0.0
509,176089,1.0,0.0,1.0,0.0,1.0
510,179581,1.0,1.0,1.0,0.0,1.0
511,190357,1.0,1.0,1.0,1.0,1.0
512,172865,1.0,3.0,0.0,0.0,0.0
513,174660,1.0,1.0,1.0,1.0,1.0
514,202980,1.0,1.0,1.0,1.0,1.0
515,165788,1.0,1.0,1.0,0.0,1.0
516,156496,1.0,1.0,1.0,0.0,1.0
517,208047,1.0,1.0,1.0,1.0,1.0
518,185690,1.0,1.0,1.0,1.0,1.0
519,179656,1.0,1.0,0.0,0.0,1.0
520,171621,1.0,0.0,1.0,0.0,1.0
521,188426,1.0,1.0,1.0,1.0,1.0
522,155212,1.0,1.0,1.0,0.0,0.0
523,209222,1.0,1.0,1.0,1.0,1.0
524,185441,1.0,4.0,1.0,1.0,1.0
525,209378,1.0,0.0,1.0,0.0,1.0
526,189053,1.0,1.0,1.0,1.0,1.0
527,180433,1.0,24.0,1.0,0.0,1.0
528,179627,1.0,1.0,1.0,1.0,1.0
529,164121,1.0,0.0,1.0,0.0,1.0
530,184325,1.0,1.0,1.0,1.0,1.0
531,209805,1.0,10.0,9.0,1.0,1.0
532,183708,1.0,1.0,0.0,0.0,1.0
533,197885,1.0,1.0,1.0,0.0,0.0
534,161269,1.0,0.0,1.0,0.0,0.0
535,197455,1.0,0.0,0.0,0.0,0.0
536,180619,1.0,1.0,1.0,0.0,1.0
537,195240,1.0,6.0,2.0,1.0,2.0
538,194102,1.0,1.0,1.0,1.0,1.0
539,198244,1.0,1.0,1.0,1.0,1.0
540,201925,1.0,1.0,0.0,0.0,1.0
541,173637,1.0,1.0,1.0,0.0,1.0
542,189874,6.0,30.0,6.0,0.0,7.0
543,164563,1.0,1.0,1.0,1.0,1.0
544,190658,1.0,0.0,1.0,0.0,1.0
545,164606,1.0,3.0,1.0,1.0,1.0
546,194043,1.0,1.0,1.0,1.0,1.0
547,208439,1.0,1.0,1.0,0.0,1.0
548,180689,1.0,5.0,1.0,0.0,2.0
549,195730,1.0,5.0,1.0,1.0,1.0
550,172667,1.0,4.0,1.0,0.0,2.0
551,175719,1.0,2.0,0.0,0.0,1.0
