,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship,ranking_factor,PTR ratio
23819,21965,Wanaparthy,36,28,0,"Govt. Degree College for Women, Wanaparthy",191174,16.3516325,78.05767919999998,1,31.0,11
23820,11415,UNA,2,598,2,"K.C. Education and Socail Welfare Society Group of Research & Professional  Institutes, VPO pandoga, Uparla Tehsil & Distt Una",191175,31.297777000000004,75.96722199999999,1,233.0,10
23821,34477,Bhoom,27,298,0,"Shankarrao Patil Mahavidyalaya Arts & Commerce College, Bhoom.",191176,,,1,11.0,10
23822,39782,Cuttack.,21,366,1,M.S. Law College,191177,20.4664855,85.8987683,0,16.0,11
23823,33819,Jawhar,27,318,0,Gokhale Education Societys Arts & Commerce College  Jawhar  Dist Thane,191179,,,1,12.0,11
23824,34447,Khuldabad,27,298,0,Chistiya College of Arts,191181,20.009520000000002,75.18878999999998,1,12.0,11
23825,16593,Chennai,33,439,2,S.K.R Engineering College,191182,,,1,313.0,9
23826,33633,RASAYANI,27,318,2,Pillais HOC College of Science At   Rasayani Tal  Khalapur Dist Raigad,191183,,,1,10.0,10
23827,45946,MADURAI,33,463,1,"THIRUVALLUVAR COLLEGE OF ARTS AND  SCIENCE FOR WOMEN, MADURAI",191184,9.83505,77.67752,0,15.0,9
23828,51300,SIDDHARTH NAGAR,9,508,0,"SURYA  MAHAVIDYALAYA, SIDDHARTHNAGAR",191185,27.357961,83.2469521,0,6.0,11
23829,53486,Srinagar,1,196,1,"Govt. College of Nursing, Shireen Bagh,",191187,,,0,27.0,11
23830,30243,PRODDATUR,28,45,0,Sadana Degree College,191296,,,1,22.0,10
23831,1342,Bangalore,29,249,2,"Vivekananda Institute of Technology, BANGALORE",191189,12.855978,77.455061,1,17.0,11
23832,48919,KANNAUJ,9,505,0,"RADHE SHYAM SMARAK MAHAVIDHYALAYA, BAHOSI,",191190,,,1,3.0,10
23833,32762,Guntur-522001,28,3,2,A.C.College (Day),191191,,,1,17.0,10
23834,45767,TIRUCHENGODE,33,481,2,"K.S.R.INSTIUTE OF DENTAL SCIENCE AND RESEARCH (Inst. Code - 196), NAMAKKAL",191192,,,1,17.0,10
23835,43624,Thiruvananthapuram- 695035,32,260,1,"Govt. Engineering College, Barton Hill, Thiruvananthapuram",191194,8.504562339999998,76.94072159999999,1,162.0,10
23836,25304,nuzvid,28,21,0,SRI SARADA DEGREE COLLEGE,191197,,,1,15.0,11
23837,14813,KARUR,33,483,0,Kaliammal College of Education,191198,10.96066,77.98021099999998,1,8.0,9
23838,48338,Jaipur,8,420,0,MAHARISHI ARVIND INSTITUTE  OF PHARMACY,191201,26.12345,75.89656999999998,1,12.0,11
23839,53092,Jagdalpur,22,81,3,SURYA NURSING COLLEGE,191202,,,1,30.0,10
23840,17358,Nagon,18,52,0,Samaguri College,191203,26.410063,92.84001500000001,1,7.0,10
23841,35688,Ankola,29,230,2,"KLEs Education College, Ankola, Dt: Karwar.",191204,,,1,17.0,9
23842,52197,Orai,9,502,0,"Ghasi Ram Kalka Prasad Siksha Mahila Mahavidyalaya, Karsan Orai",191205,26.000809,79.422945,1,15.0,11
23843,30989,KADIRI,28,33,0,"S.T.S.N. Government Degree College, Kadiri",191206,14.120001,78.170001,1,15.0,10
23844,18079,VIJAYAWADA,28,15,2,"Mother Theresa Educational Society Group of Institutions, Nunna, Vijayawada (Rural),PIN-521212(CC-9T)",191207,16.32571,80.12345,1,17.0,11
23845,18839,Wardha,27,332,2,"Sri Shankarprasad College of Engineering, Sindi meghe",191208,20.44391,78.35161,1,181.0,10
23846,36533,USILAMPATTI-625532,33,463,1,P.M.T. COLLEGE,191209,,,1,8.0,11
23847,26203,JODHPUR,8,418,0,"Ambika Vikas Sansthan Ayurved Nursing Training Centre, Jodhpur",191210,,,0,12.0,11
23848,20759,0,29,215,0,"Govt. First Grade College, Magadi-562102",191213,12.970001000000002,77.230001,1,15.0,10
23849,29182,amritsar,3,371,1,"College of Nursing, Govt.  Medical College, Majitha  Road, Amritsar",191214,,,1,12.0,11
23850,44303,Bandra (West),27,326,0,Rizvi Institute of Management Studies and Research,191215,19.40001,72.49001,0,8.0,9
23851,12226,Kanpur Nagar,9,505,2,"SHAHID BHAGAT SINGH LAW COLLEGE, BITHOOR,",191218,26.608037,80.272801,0,4.0,11
23852,19580,Hyderabad,36,17,0,Maheswara Engineering College,191219,17.562249999999995,78.20274,1,15.0,10
23853,24777,KAVALI,28,44,0,"MSR Degree College, Kavali",191220,,,1,15.0,10
23854,50618,MARIYAMMANAHALLI,29,229,0,"Shri Lakshminarayan Swamy and Shri Anjaneya Swamy SC and ST Education Societys Priyadarshini Arts and Commerce College for Women, Mariyammanahalli",191222,,,0,11.0,10
23855,26618,peeth,8,397,0,Government Sanskrit UG college,191225,23.510001000000003,73.450001,1,0.0,10
23856,17477,HASSAN,29,235,1,"Hasanamba College of Education, Hassan",191226,,,1,16.0,11
23857,22576,HAMIRPUR,9,502,0,Trivedi Girls Degree College,191227,,,1,11.0,9
23858,36183,JABALPUR,23,287,0,"Shri Ram Institute of Tech., Diploma Pharmacy, Near I.T.I., Madatal, Jabalpur-482002",191228,23.120237,79.54449599999998,1,35.0,10
23859,47563,,33,481,2,"ASAN MEMORIAL DENTAL COLLEGE AND HOSPITAL (Inst. Code - 501), KANCHEEPURAM",191230,12.68399,79.98334,1,49.0,11
23860,47085,jaipur,8,420,2,"GOVERNMENT DENTAL COLLEGE, JAIPUR",191231,,,0,13.0,9
23861,30802,JAMMU,1,195,2,Guru Nanak College of Education,191232,,,0,12.0,10
23862,15467,HATHRAS,9,509,0,"LAXMI CHAND KATORI DEVI DEGREE COLLEGE AGRA ROAD,MAHAMAYA NAGAR",191233,27.640001,78.11000099999998,1,36.0,9
23863,24188,Devarapalli,28,5,1,St. MARYS NIRMALA HRUDAYA MAHILA COLLEGE,191234,16.43001,81.09000999999999,1,16.0,9
